id,media,leaning,date,title,short_opening,URL
L001,CBC,left,2022/3/10,Volodymyr_Zelensky to address House of Commons,Ukrainian President Volodymyr_Zelensky_has accepted an invitation to address the House of Commons just a few days after delivering an address to the British House of Commons.,
L002,CBC,left,2022/4/4,Zelensky accuses Russia of torture and 'genocide' after bodies of civilians found,"Moscow faced a new wave of revulsion and accusations of war crimes Monday after the Russian pullout from the outskirts of Kyiv revealed streets strewn with corpses of what appeared to be civilians, some seemingly killed deliberately at close range.",
L003,CBC,left,2022/4/4,"Silk Sonic and Jon Batiste triumph, Zelensky appears at a classy Grammy Awards","The 64th Grammy Awards was a classy affair that awarded first-time winners and offered lively, well-produced performances _ plus a message from Ukraine's president. CBC News has the highlights.",
L004,CBC,left,2022/3/15,Ukrainian President Volodymyr Zelensky addresses Parliament as Russian forces edge toward Kyiv,"Ukrainian President Volodymyr Zelensky delivered a powerful, personal appeal to Canada to do more to help his embattled country withstand the invasion by Russia.",
L005,CBC,left,2022/3/15,Parliament gave Zelensky a hero's welcome. He gave us something else: a cold dose of reality,"""Old friends owe the truth,"" Volodymyr Zelensky, president of Ukraine and global folk hero, told parliamentarians on Tuesday. His message to Canadians _ try to imagine what it's like to be us.",
L006,CBC,left,2022/3/1,"'Prove that you are with us,' Ukraine's president says to EU","Speaking via video link to an emergency session of the European Parliament, Ukrainian President Volodymyr Zelensky urged the EU on Tuesday to ""prove that you are with us"" in Ukraine's war with Russia, a day after Kyiv officially asked to join the bloc.",
L007,CBC,left,2022/6/25,"Russian forces now control Severodonetsk, but Zelensky vows Ukraine will re-take lost cities","Russian forces_seized full control of the Eastern Ukrainian city of Severodonetsk_on Saturday, confirming_Kyiv's biggest battlefield setback for more than a month,_after_weeks of some of the war's bloodiest fighting.",
L008,CBC,left,2022/5/8,Trudeau says Canada backs Ukraine in seeking justice for Putin's 'heinous war crimes',"Prime Minister Justin Trudeau is in Ukraine on Sunday, meeting with Ukrainian President Volodymyr Zelensky and showing support for the embattled country.",
L009,CBC,left,2022/5/23,"Impose 'maximum' sanctions on Russia, Ukraine's Zelensky urges World Economic Forum","Ukrainian President Volodymyr Zelensky_called for 'maximum' sanctions against Russia during speech to the World Economic Economic in Davos, Switzerland.",
L010,CBC,left,2022/6/27,Zelensky asks G7 leaders for better air defences and tougher sanctions on Russia,"The ongoing war in Ukraine moved from being a_distant, abstract_conflict to something more tangible for_the leaders of the world's seven wealthiest democracies_on Monday with an address by the embattled country's president.",
L011,CBC,left,2022/6/3,"How Volodymyr Zelensky has rallied Ukraine, night after night, during 100 days of war","One hundred days into a Russian invasion, Ukrainian President Volodymyr Zelensky is speaking to his people every night and rallying them to the continued fight to expel the invading forces from within Ukraine's borders.",
L012,CBC,left,2022/4/2,Zelensky alleges Russian troops leaving booby traps behind as Ukraine regains area near Kyiv,"Ukrainian troops moved cautiously to retake territory north of the country's capital on Saturday, using cables to pull the bodies of civilians off the streets in one town out of fear that Russian forces might have booby-trapped them before leaving.",
L013,CBC,left,2022/3/20,"Zelensky, Putin videos provide glimpse of evolving deepfake threat, experts say","A recent deepfake fail involving a likeness of Ukrainian President Volodymyr Zelensky may not have been convincing to the public, but experts fear more advanced versions of such deception_could wreak havoc in the future.",
L014,CBC,left,2022/4/15,"At least 2,500 Ukrainian troops have died since Russia invaded, Zelensky says","Ukrainian President Volodymyr Zelensky_said Friday that between 2,500 and 3,000 Ukrainian troops have died in the war with Russia and another 10,000 have been injured.",
L015,CBC,left,2022/4/18,"Russia launches 'battle for the Donbas' in Eastern Ukraine, Zelensky says",Ukrainian President Volodymyr Zelensky says Russia has begun its offensive to take control of Eastern Ukraine.,
L016,CBC,left,2022/4/24,Top U.S. officials meet with Zelensky in Ukraine as Russia continues to pound targets,The U.S. secretaries of state and defence met Sunday night with Ukrainian President Volodymyr Zelensky in the highest-level visit to the war-torn country's capital by an American delegation since the start of Russia's invasion.,
L017,CBC,left,2022/2/24,"As Russia attacks Ukraine on multiple fronts, some fear Zelensky's government is next target",Ukrainian President Volodymyr Zelensky says he is staying put in Kyiv even with Russian troops just 25 kilometers from the capital. An analyst says Russia could be looking to eliminate anyone who could potentially mount opposition to a Russian-installed regime.,
L018,CBC,left,2022/4/21,Trudeau says Canada is sending artillery to Ukraine. Here's what that could mean,Prime Minister Justin Trudeau said earlier this week that Canada will send artillery to Ukraine in response to a request from President Volodymyr Zelensky _ which would mark a shift in the nature of the military aid Canada is offering the embattled nation.,
L019,CBC,left,2022/5/23,"Russia waging 'total war' in Ukraine, says Zelensky","Ukrainian President Volodymyr Zelensky says Russia is waging ""total war"" on his country, and that includes inflicting as many casualties and destroying as much infrastructure as possible.",
L020,CBC,left,2022/4/19,Zelensky calls Russian army 'inhuman' as Moscow increases attacks on eastern Donbas,"Ukrainian President Volodymyr Zelensky says_the Russian military is throwing everything it has at Ukraine, with most of its combat-ready forces now concentrated in the country and just across its border in Russia.",
C021,NBC,center-left,2022-11-17,Zelenskyy insists missile strike in Poland didn__ come from Ukraine,Zelenskyy disputes NATO findings on Poland explosion.,
C022,NBC,center-left,2025-04-26,Trump and Zelenskyy meet at Vatican ahead of pope__ funeral,Trump and Zelenskyy meet for first time since Oval Office dispute.,
C023,NBC,center-left,2022-11-14,Zelenskyy visits Ukrainian city liberated from Russian occupation,Zelenskyy visits Kherson after Russia retreats.,
C024,NBC,center-left,2025-02-15,Zelenskyy says __ow chance_ Ukraine survives without US support,Zelenskyy warns Ukraine may not survive without US aid.,
C025,NBC,center-left,2024-04-21,Zelenskyy thanks Biden and Johnson for House passage of aid to Ukraine,Zelenskyy expresses gratitude for new US aid package.,
C026,NBC,center-left,2022-03-16,"Zelenskyy to address US Congress, plead for more help",Zelenskyy prepares virtual address urging Congress for no-fly zone and more aid.,
C027,NBC,center-left,2022-05-22,Zelenskyy family offers a glimpse of life in Ukraine following war,Zelenskyy and First Lady share life inside wartime Ukraine.,
C028,NBC,center-left,2023-11-05,Zelenskyy rejects that war with Russia is at __talemate_,Zelenskyy denies a stalemate despite severe challenges.,
C029,NBC,center-left,2022-04-04,Zelenskyy accuses Russians of __enocide_,Zelenskyy condemns atrocities in Kyiv__ suburbs.,
C030,NBC,center-left,2025-02-16,Zelenskyy warns of __igh risk_ Putin will invade NATO countries: Full interview,Zelenskyy warns Putin might prepare attacks on NATO states.,
C031,NBC,center-left,2022-03-16,WATCH: Zelenskyy__ full address to US Congress on Russian invasion,Full live-stream of Zelenskyy__ emotional address to U.S. Congress.,
C032,NBC,center-left,2025-08-11,Zelenskyy Rejects Idea of Giving up Land to Russia for Peace,Zelenskyy rejects Trump's suggestion Ukraine should cede land for peace.,
C033,NBC,center-left,2022-10-10,Zelenskyy accuses Russia of trying to wipe Ukraine off the Earth,Russia launches largest missile barrage since invasion.,
C034,NBC,center-left,2022-10-04,Elon Musk angers Zelenskyy over Twitter poll on Ukraine peace plan,Musk angers Zelenskyy with unsolicited peace plan tweet.,
C035,NBC,center-left,2025-02-28,Trump backpedals Zelenskyy __ictator_ comment ahead of meeting,Trump softens tone before minerals-related meeting with Zelenskyy.,
C036,NBC,center-left,2024-08-31,Zelenskyy asks permission for long-range strikes into Russia,Zelenskyy requests approval for deep strikes into Russia.,
C037,NBC,center-left,2025-03-02,Zelenskyy in UK for emergency summit after Oval Office blowup,Starmer hosts emergency summit after Zelenskyy__rump dispute.,
C038,NBC,center-left,2025-05-15,"Zelenskyy arrives in Turkey for peace talks, but Putin is absent",Zelenskyy arrives in Turkey for peace talks; Trump says he didn__ expect Putin to come.,
C039,NBC,center-left,2022-03-17,Ukraine__ Zelenskyy shares graphic video during address to Congress,Zelenskyy shares graphic video appealing for more U.S. support.,
C040,NBC,center-left,2023-11-05,Zelenskyy appeals to Congress for more aid amid political standoff,Zelenskyy returns to the U.S. asking Congress for additional Ukraine aid.,
C041,NPR,center-left,2024-09-26,Zelenskyy met with leaders in Washington to press for ongoing support for Ukraine,Franco Ordoñez President Biden welcomes Ukraine's President Zelenskyy with a pledge of additional military assistance. Zelenskyy also met with Vice President Harris and bipartisan groups in the House and Senate.,
C042,NPR,center-left,2025-08-19,How Ukrainians view the meeting between Trump and Zelenskyy,"A Martínez A MART_NEZ, HOST:",
C043,NPR,center-left,2025-08-16,Ukrainian president Volodymyr Zelenskyy to meet with Trump on Monday,By Jim Kane,
C044,NPR,center-left,2023-05-19,Ukraine's President Volodymyr Zelenskyy will attend the G-7 meeting in person,By Leila Fadel,
C045,NPR,center-left,2023-09-21,Ukrainian President Zelenskyy courts Washington for aid amid some GOP Resistance,Tamara Keith Ukraine's president visits Washington as the White House faces resistance from House Republicans for its latest funding request to help with the country's defense against Russia.,
C046,NPR,center-left,2023-12-12,Ukrainian President Zelenskyy is in Washigton to make plea to Congress for funding,By Mara Liasson,
C047,NPR,center-left,2025-03-02,How Washington is reacting to the heated Trump-Zelenskyy meeting,Luke Garrett President Trump meets with Ukrainian President Volodymyr Zelenskyy in the Oval Office at the White House on Friday.Mstyslav Cherno/APhide caption,
C048,NPR,center-left,2023-01-24,President Zelenskyy shakes up Ukraine's Cabinet amid corruption allegations,By Julian Hayda,
C049,NPR,center-left,2022-12-22,Zelenskyy told Congress continued aid is an investment in global security. Is it?,"LEILA FADEL, HOST: Ukrainian President Volodymyr Zelenskyy told a joint meeting of Congress last night U.S. aid can speed up a Ukrainian victory over Russia.",
C050,NPR,center-left,2025-06-24,Russian attacks on Ukraine kill 14 civilians asZelenskyytravels to UK,By The Associated Press,
