date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-11-16,Greece and Ukraine sign a US gas supply deal as Zelenskyy visits Athens,An agreement to supply Ukraine with U.S. liquefied natural gas has been signed in Athens during Ukrainian President Volodymyr Zelenskyy__ visit to Greece.,https://apnews.com/article/lng-us-energy-ukraine-greece-deal-gas-f749e45a3cbea1de6fe664f9a09631f6,Aid Policies,neutral,zelensky_ap_filtered,,
2025-10-13,Zelenskyy to visit Washington this week seeking long-range weapons and a Trump meeting,Ukrainian President Volodymyr Zelenskyy says he will travel to the United States this week for talks on the potential U.S. provision of long-range weapons.,https://apnews.com/article/russia-ukraine-war-trump-zelenskyy-eu-5350381ba83ce1f53928ac435d4c4e7d,Aid Policies,neutral,zelensky_ap_filtered,,
2025-09-17,"Ukraine expects $3.5 billion fund for US weapons to sustain fight against Russia, Zelenskyy says",Ukraine expects to have a $3.5 billion fund by next month to buy weapons from the U.S. and sustain its defense.,https://apnews.com/article/russia-ukraine-war-us-weapons-minerals-86894a9ce6c86cede42d1adca8569d5e,Aid Policies,neutral,zelensky_ap_filtered,,
2025-01-10,Zelenskyy meets US Defence Secretary Austin in Germany,Zelenskyy and Austin urge continued U.S. military support for Ukraine.,https://apnews.com/video/lloyd-austin-volodymyr-zelenskyy-ukraine-government-vladimir-putin-austin-zelenskyy-a563dac1eb044541a599754b03b9c4b3,Aid Policies,neutral,zelensky_ap_filtered,,
2025-10-23,"Zelenskyy meets with Macron, Merz and other EU leaders on sidelines of Brussels summit",Zelenskyy held several bilateral meetings at the EU summit in Brussels.,https://apnews.com/video/zelenskyy-meets-with-macron-merz-and-other-eu-leaders-on-sidelines-of-brussels-summit-5912b79ebfd5401c88684c87dcad3fc0,Aid Policies,neutral,zelensky_ap_filtered,,
2025-11-16,Greece and Ukraine sign a US gas supply deal as Zelenskyy visits Athens,Ukraine signs deal to import U.S. natural gas via Greece.,https://apnews.com/video/greece-and-ukraine-sign-a-us-gas-supply-deal-as-zelenskyy-visits-athens-f0f89f9f069d4dffafd8d1d030222174,Aid Policies,neutral,zelensky_ap_filtered,,
2025-10-16,Zelenskyy arrives in US to meet with Trump,Zelenskyy arrived in the U.S. for talks on long-range weapons.,https://apnews.com/video/zelenskyy-arrives-in-us-to-meet-with-trump-492c6dfe49a34c69a0f68d443bca0111,Aid Policies,neutral,zelensky_ap_filtered,,
2025-10-22,Zelenskyy and Kristersson watch Swedish fighter jets perform as countries agree deal on Gripen planes,Zelenskyy and Sweden showcased fighter jets in a Gripen cooperation deal.,https://apnews.com/video/zelenskyy-and-kristersson-watch-swedish-fighter-jets-perform-as-countries-agree-deal-on-gripen-planes-9e719bb2d70b483e8ef80b45fd9e5fb9,Aid Policies,neutral,zelensky_ap_filtered,,
2025-07-11,Zelenskyy says aid shipments from the U.S. __ave been restored_,Zelenskyy said paused U.S. military aid shipments have resumed.,https://apnews.com/video/zelenskyy-says-aid-shipments-from-the-u-s-have-been-restored-aae1802a3d664086b73a6fdc71a3c55e,Aid Policies,neutral,zelensky_ap_filtered,,
2024-12-07,Ukraine confirms second Danish delivery of F-16s as Zelenskyy seeks support in Paris,Denmark delivered a second batch of F-16s as Zelenskyy sought support in Paris.,https://apnews.com/article/russia-ukraine-war-f16-denmark-86c2d6631869cc8f5217482e22bf52d8,Aid Policies,neutral,zelensky_ap_filtered,,
2025-01-25,"US has not stopped military aid to Ukraine, Zelenskyy says",Zelenskyy said the US has not stopped military aid to Ukraine.,https://apnews.com/article/russia-ukraine-war-zelenskyy-us-aid-7a2d78db94565e6808e6d0699f6fa38d,Aid Policies,neutral,zelensky_ap_filtered,,
2025-10-17,Zelenskyy pitches Trump on Ukraine drone-for-Tomahawk missile exchange,Zelenskyy proposes drone-for-Tomahawk deal; Trump hesitant.,https://www.foxnews.com/world/zelenskyy-pitches-trump-ukraine-drone-for-tomahawk-missile-exchange-president-weighs-escalation-concerns,Aid Policies,neutral,zelensky_foxnews_filtered,,
2024-08-23,"Biden speaks to Zelenskyy, pledges U.S. military aid for Ukraine Independence Day","The U.S. also imposed sanctions on more than 400 entities and individuals for supporting Russia's war effort in Ukraine, including Chinese companies.",https://globalnews.ca/news/10713423/ukraine-zelenskyy-biden-aid-independence-day/,Aid Policies,neutral,zelensky_globalnews_filtered,,
2023-09-22,"__ever submit to evil,_ Zelenskyy urges in speech as Trudeau vows $650M more","The last time Ukrainian President Volodymyr Zelenskyy was in Canada, he was a relatively unknown leader fresh off an election win in 2019.",https://globalnews.ca/news/9978576/ukraine-zelenskyy-canada-visit/,Aid Policies,neutral,zelensky_globalnews_filtered,,
2023-09-21,Zelenskyy makes case for more aid to U.S. Congress as support under strain,"Ukrainian President Volodymyr Zelenskyy returned to Washington for a whirlwind one-day visit, this time facing pressure from Republicans questioning U.S. aid to Ukraine.",https://globalnews.ca/news/9976184/volodymyr-zelenskyy-ukraine-us-congress/,Aid Policies,neutral,zelensky_globalnews_filtered,,
2023-05-21,Zelenskyy hints new Canadian aid package for Ukraine is coming soon,Prime Minister Justin Trudeau and Volodymyr Zelenskyy had met earlier in the day and Canada did not announce any new weapons or aid for Ukraine after they spoke.,https://globalnews.ca/news/9714201/volodymyr-zelenskyy-canada-ukraine-aid/,Aid Policies,neutral,zelensky_globalnews_filtered,,
2023-01-10,Zelenskyy thanks Trudeau for donating air defence system to Ukraine,"The NASAM is a medium-range ground-based air defence system that protects against drone, missile and aircraft attack with a high success rate.",https://globalnews.ca/news/9400363/ukraine-canada-air-defence-system/,Aid Policies,neutral,zelensky_globalnews_filtered,,
2022-11-18,Ukraine__ Zelenskyy calls on Canada to help on long,Ukrainian President Volodymyr Zelenskyy made the request in a pre-recorded video address to an international security conference in Halifax.,https://globalnews.ca/news/9290846/ukraine-zelenskyy-canada-peace-plan-russia/,Aid Policies,neutral,zelensky_globalnews_filtered,,
2025-07-05,Zelenskyyasks Trump for air defense munitions amid escalating Russian airstrikes,Ukraine is facing a summer of escalating Russian airstrikes on its cities. The Ukrainian President has called on the U.S. to provide more air defense systems.,https://www.npr.org/2025/07/05/nx-s1-5455770/zelenskyy-asks-trump-for-air-defense-munitions-amid-escalating-russian-airstrikes,Aid Policies,neutral,zelensky_npr_filtered,,
2025-02-28,"Meeting Trump at White House, Zelenskyy hopes for continued aid in war with Russia","Joanna Kakissis Trump and Ukraine's President Volodymyr Zelenskyy shake hands during their meeting at Trump Tower, Sept. 27, 2024, in New York.Julia Demaree Nikhinson/APhide caption",https://www.npr.org/2025/02/28/nx-s1-5312880/trump-zelenskyy-minerals-ukraine-russia,Aid Policies,neutral,zelensky_npr_filtered,,
