date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-09-16,Zelenskyy calls for a European air defense system as Russian strike wounds 20,Russian bombardment on Zaporizhzhia wounded 20 people including children.,https://apnews.com/article/russia-ukraine-war-zelenskyy-trump-3147203ffd293b9518655f910711d801,Humanitarian Crisis,neutral,zelensky_ap_filtered,,
2025-10-01,Zelenskyy and UN atomic agency head warn of heightened risk at huge Ukrainian nuclear plant,Ukraine and the UN nuclear agency warn of rising risks at the occupied Zaporizhzhia plant.,https://apnews.com/article/russia-ukraine-war-zaporizhzhia-nuclear-plant-85e5b1512918d7293702429b808483bc,Humanitarian Crisis,neutral,zelensky_ap_filtered,,
2025-06-21,"Ukraine received at least 20 bodies of Russian soldiers in recent exchanges, Zelenskyy says",Ukraine received at least 20 Russian bodies in recent exchanges.,https://apnews.com/article/russia-ukraine-war-dead-soldiers-zelenskyy-3fe949eb4f050e6ef53b8eae7da0ef6c,Humanitarian Crisis,neutral,zelensky_ap_filtered,,
2024-02-25,"31,000 Ukrainian troops have been killed so far in the war,Zelenskyysays","Joanna Kakissis Ukrainian President Volodymyr Zelenskyy answers media questions, during his press conference in Kyiv, Ukraine, on Sunday.",https://www.npr.org/2024/02/25/1233801790/ukraine-troops-killed-war-zelenskyy-russia-ammunition,Humanitarian Crisis,neutral,zelensky_npr_filtered,,
2023-10-06,"Russian strike kills dozens of Ukrainian civilians attending a wake,Zelenskyysays","HROZA, Ukraine  A Russian rocket blast turned a village cafe and store in eastern Ukraine into rubble Thursday, killing at least 51 civilians in one of the deadliest attacks in the war in months, according to President Volodymyr Zelenskyy and other top officials in Kyiv.",https://www.npr.org/2023/10/06/1204091672/russia-strike-ukrainian-village-kills-more-than-50,Humanitarian Crisis,neutral,zelensky_npr_filtered,,
2023-08-06,"Zelenskyysays bomb hit blood transfusion center, while shelling kills 3 overnight","KYIV, Ukraine  Three people have died during a night of air strikes and intense shelling across Ukraine, officials said Sunday, while Moscow's second-largest airport briefly suspended flights following a foiled drone attack near the Russian capital.",https://www.npr.org/2023/08/06/1192386597/zelenskyy-says-bomb-hit-blood-transfusion-center-shelling-kills-3-overnight,Humanitarian Crisis,neutral,zelensky_npr_filtered,,
2023-06-04,PresidentZelenskyysays 2-year-old is one of 500 Ukrainian children killed in war,"KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy said Sunday that Russia's war, now in its 16th month, has killed at least 500 Ukrainian children.",https://www.npr.org/2023/06/04/1180031066/president-zelenskyy-says-2-year-old-is-one-of-500-ukrainian-children-killed-in-w,Humanitarian Crisis,neutral,zelensky_npr_filtered,,
2022-11-19,"With nearly half of Ukraine__ energy grid knocked out, Zelensky says 17 regions face a __ifficult situation._","As temperatures drop into the 30s Fahrenheit and winter closes in, Ukraine is grappling with energy supply problems caused by Moscow__ relentless bombardment of the country__ infrastructure, President Volodymyr Zelensky of Ukraine says.",,Humanitarian Crisis,neutral,zelensky_nytimes_filtered,,
2023-06-08,"Zelensky Visits Ukraine__ Flood Zone, Where Residents See __orror_ Float By","President Volodymyr Zelensky traveled to the city of Kherson, trying to rally rescue crews. Russian forces shelled the city not long after his visit.",,Humanitarian Crisis,neutral,zelensky_nytimes_filtered,,
2022-05-01,Zelensky says around 100 civilians are being evacuated from the Mariupol steel factory.,The Ukrainian president said that civilians were being evacuated from the Azovstal steel factory and are headed to a __ontrolled area._,,Humanitarian Crisis,neutral,zelensky_nytimes_filtered,,
2022-05-23,Zelensky says Russian forces killed 87 people in an attack.,"The attack took place last week in the Chernihiv region north of the capital, Kyiv.",,Humanitarian Crisis,neutral,zelensky_nytimes_filtered,,
2022-09-16,Zelenskyy announces mass grave uncovered in recaptured city,Mass grave discovered in liberated areas of Kharkiv.,https://www.nbc.com/today/video/zelenskyy-announces-mass-grave-uncovered-in-recaptured-city/NBCN586565617,Humanitarian Crisis,neutral,zelensky_nbc_filtered,,
2022-07-31,Zelenskyy urges residents to evacuate eastern Ukraine,Zelenskyy warns civilians to evacuate Donbas.,https://www.nbc.com/today/video/zelenskyy-urges-residents-to-evacuate-eastern-part-of-ukraine/NBCN165381565,Humanitarian Crisis,neutral,zelensky_nbc_filtered,,
2022-06-24,Zelenskyy speaks out on missing American fighters,Zelenskyy says finding missing Americans is __igh priority._,https://www.nbc.com/today/video/zelenskyy-speaks-out-on-missing-american-fighters/NBCN756933684,Humanitarian Crisis,neutral,zelensky_nbc_filtered,,
