date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-10-31,"Russia deploys 170,000 troops for push in Ukraine__ Donetsk region, Zelenskyy says","Russia has deployed 170,000 troops in Donetsk aiming to seize Pokrovsk.",https://apnews.com/article/russia-ukraine-war-missile-united-nations-4624a6463aa3637e2d47baec9c5edcbe,Military Operations,neutral,zelensky_ap_filtered,,
2025-08-12,Zelenskyy says Putin wants the rest of Ukraine__ Donetsk region as part of a ceasefire,"Putin wants Ukraine to withdraw from remaining 30% of Donetsk, Zelenskyy says.",https://apnews.com/article/europe-trump-putin-summit-ukraine-territory-ba56ddbd24d1b7e8e0aca7754d0f180a,Military Operations,neutral,zelensky_ap_filtered,,
2025-08-09,"Zelenskyy rejects formally ceding Ukrainian territory, says Kyiv must be part of any negotiations",Ukrainian President Volodymyr Zelenskyy has rejected the idea of giving up land to end the war with Russia.,https://apnews.com/article/russia-ukraine-war-putin-trump-summit-zelenskyy-a01a6dbae85b10cc710c48f1558c1401,Military Operations,neutral,zelensky_ap_filtered,,
2025-04-24,Zelenskyy says he__ cutting short a visit to South Africa after Russian attacks on Kyiv,Zelenskyy cut short his South Africa visit due to a major Russian attack on Kyiv.,https://apnews.com/article/zelenskyy-ukraine-russia-war-trump-south-africa-aac31e008039b3afbd45ed9fe482e3fa,Military Operations,neutral,zelensky_ap_filtered,,
2025-07-25,Ukraine__ Zelenskyy says defenses are holding firm against Russia__ summer push,Zelenskyy said Ukraine__ forces are holding back Russia__ summer offensive.,https://apnews.com/article/russia-ukraine-war-zelenskyy-front-line-e69e6b1a6ce4b6cc02b6899d945ddeab,Military Operations,neutral,zelensky_ap_filtered,,
2025-04-09,Ukraine__ Zelenskyy says 2 Chinese men were caught fighting alongside Russia,Zelenskyy said Ukraine captured two Chinese men fighting for Russia.,https://apnews.com/article/russia-ukraine-war-captured-chinese-141294997b4c63c67f978121db645244,Military Operations,neutral,zelensky_ap_filtered,,
2025-02-08,Zelenskyy confirms a new Ukrainian offensive in Russia__ Kursk region,Zelenskyy confirmed Ukrainian forces launched an offensive in Russia's Kursk region.,https://apnews.com/article/russia-ukraine-north-korea-kursk-de43ba469a070a4700ba26f330131b49,Military Operations,neutral,zelensky_ap_filtered,,
2025-07-26,Zelenskyy calls for ramped up production of drone interceptors after Russian glide bomb attack,Zelenskyy urged rapid expansion of drone interceptor production.,https://apnews.com/video/zelenskyy-calls-for-ramped-up-production-of-drone-interceptors-after-russian-glide-bomb-attack-af4e8d298d2d4dfd82175854298ca2cf,Military Operations,neutral,zelensky_ap_filtered,,
2024-10-17,Zelenskyy victory plan: Replace US troops with Ukrainians,Zelenskyy proposes replacing U.S. troops with Ukrainians across Europe.,https://www.foxnews.com/politics/zelensky-victory-plan-includes-replacing-us-troops-outposts-europe-battle-hardened-ukrainians,Military Operations,neutral,zelensky_foxnews_filtered,,
2024-11-05,"Ukraine, North Korean troops clash for first time; Zelenskyy warns of escalation",Zelenskyy warns of escalating conflict as NK troops join Russia.,https://www.foxnews.com/world/ukraine-north-korean-troops-clash-first-time-zelenskyy-warns-escalation,Military Operations,neutral,zelensky_foxnews_filtered,,
2025-11-26,Ukraine's Zelenskyy ordered missile strikes into Russia hours after trip to front lines,Zelenskyy orders strikes on Russia following frontline visit.,https://www.foxnews.com/world/ukraine-president-zelenskyy-ordered-missile-strikes-russia-hours-after-trip-front-lines-fox-news,Military Operations,neutral,zelensky_foxnews_filtered,,
2023-12-19,Ukraine weighing military__ request to mobilize another 500K for war: Zelenskyy,"Volodymyr Zelenskyy said it was a ""highly sensitive"" issue that the military and government would discuss before deciding whether to send the proposal to parliament.",https://globalnews.ca/news/10180949/ukraine-army-mobilization-request-zelenskyy/,Military Operations,neutral,zelensky_globalnews_filtered,,
2022-11-28,"Unless Russia runs out of missiles, Moscow won__ stop strikes: Ukraine__ Zelenskyy",Ukraine has gained an advantage on the battlefield in part from deploying western rocket systems that allow it to target Russian positions behind the front lines.,https://globalnews.ca/news/9308830/russia-ukraine-missile-strikes-zelenskyy/,Military Operations,neutral,zelensky_globalnews_filtered,,
2022-11-06,"Russia __uffering serious losses_ in eastern Ukraine, Zelenskyy says","""Very fierce Russian attacks on Donetsk region are continuing. The enemy is suffering serious losses there,"" Zelenskyy said in a video address.",https://globalnews.ca/news/9256664/russia-ukraine-volodymyr-zelenskyy/,Military Operations,neutral,zelensky_globalnews_filtered,,
2024-08-31,Ukrainian president Zelenskyy fires air force commander after fatal F-16 crash,"KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy fired the commander of the countrys air force Friday, four days after an F-16 warplane that Ukraine received from its Western partners crashed during a Russian bombardment and killed the pilot.",https://www.npr.org/2024/08/31/g-s1-20449/ukraine-president-zelenskyy-fires-air-force-commander-f16-crash,Military Operations,neutral,zelensky_npr_filtered,,
2023-07-08,Zelenskyyhails Ukraine's soldiers from a Black Sea island to mark 500 days of war,"KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy marked the 500th day of the war Saturday by hailing the country's soldiers in a video from a Black Sea island that became the symbol of Ukraine's resilience in the face of the Russian invasion.",https://www.npr.org/2023/07/08/1186662854/zelenskyy-ukraine-war-500-days-russia-turkey,Military Operations,positive,zelensky_npr_filtered,,
2023-06-10,Ukraine'sZelenskyyconfirms that an offensive against Russia is underway,"Greg Myre Ukrainian President Volodymyr Zelenskyy speaks during a joint news conference with Canada's Prime Minister Justin Trudeau in Kyiv, Ukraine, on Saturday.Efrem Lukatsky/APhide caption",https://www.npr.org/2023/06/10/1181512637/zelenskyy-ukraine-counteroffensive,Military Operations,neutral,zelensky_npr_filtered,,
2023-05-22,"Latest in Ukraine: Zelenskyy scores F-16 training, as Russia claims to take Bakhmut","By President Biden walks with Ukrainian President Volodymyr Zelenskyy ahead of a working session on Ukraine during the Group of Seven summit in Hiroshima, Japan, Sunday. In a win for the Ukrainian leader, Biden supported training Ukraine's pilots to fly F-16s.Susan Walsh/APhide caption",https://www.npr.org/2023/05/22/1176391571/russia-ukraine-war-news,Military Operations,positive,zelensky_npr_filtered,,
2022-06-14,"The battle for Ukraine__ Donbas will be remembered for its brutality, Zelensky says.","Ukraine__ fight to defend the Donbas region against Russia will __o down in military history as one of the most brutal battles in Europe and for Europe,_ President Volodymyr Zelensky said in his nightly address on Monday.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2022-06-18,Zelensky Visits War-Torn Mykolaiv and Odesa in Southern Ukraine,The president__ trip aimed to highlight Ukraine__ grip on the area and to lift the spirits of an embattled populace.,,Military Operations,positive,zelensky_nytimes_filtered,,
2023-04-19,Zelensky and Putin Make Dueling Trips to Front Line in Ukraine,The visits by the Ukrainian and Russian leaders came as both sought to display strength and confidence ahead of an anticipated Kyiv counteroffensive.,,Military Operations,positive,zelensky_nytimes_filtered,,
2022-11-11,Zelensky says dozens of towns and villages in the Kherson region have been retaken.,"Russia__ announcement this week that it was retreating from parts of the Kherson region has been cast in doubt, as events have been obfuscated by the fog of war and concern rose in Kyiv that the Kremlin might be bluffing in an effort to draw Ukrainian troops into a trap.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2022-11-13,"Zelensky calls the fighting in Donetsk __ell,_ a sobering view after the recapture of Kherson.",Some military analysts said that the recapture of Kherson might enable Ukraine to shift forces as well as artillery east to Donetsk.,,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-11-01,Frustrated Zelensky Says Ukraine__ War Effort Is Being Underestimated,"As U.S. officials warned senators against halting military aid, President Volodymyr Zelensky said his troops_ achievements were __erceived as a given._",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-05-11,"Zelensky, Citing Equipment Gaps, Says It__ Too Soon for Counteroffensive","Ukraine__ president played down the chance of an imminent military move, but the claim was greeted with some skepticism.",,Military Operations,negative,zelensky_nytimes_filtered,,
2023-06-08,Kherson is hit by Russian shelling hours after a Zelensky visit.,"Ukraine__ interior ministry said that eight people were injured in an attack near an evacuation point where medics, emergency workers and rescue teams have been gathering.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2023-06-10,Zelensky Signals Ukraine__ Counteroffensive Has Begun,"As waters from the flooding of a burst dam began to recede, Ukrainian forces were trying to break through stout Russian defenses in the south and east.",,Military Operations,neutral,zelensky_nytimes_filtered,,
2024-08-15,"Ukraine Captures Russian Town, Zelensky Says","The fall of Sudzha, about six miles from the border, would be Ukraine__ first capture of a Russian town since its troops crossed into Russian territory 10 days ago.",,Military Operations,neutral,zelensky_nytimes_filtered,,
