date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-11-16,Zelenskyy says Ukraine is working on a prisoner exchange with Russia,"Ukraine is working to resume prisoner exchanges with Russia that could bring home 1,200 Ukrainian prisoners.",https://apnews.com/article/ukraine-russia-prisoner-exchange-zelenskyy-istanbul-drones-b66ea7f9ad1ae4072861b732437b301a,Russia-Related Rhetoric,positive,zelensky_ap_filtered,,
2025-10-03,Zelenskyy warns that Russian drones endanger Chernobyl and other nuclear plants in Ukraine,Russian attacks raise concerns about nuclear safety; a drone cut power at Chernobyl for 3 hours.,https://apnews.com/article/russia-ukraine-drones-chernobyl-nuclear-plant-c451827a8a842d634203c0111131d152,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-11-09,Zelenskyy calls for more sanctions against Russia after Dnipro apartment block strike,Zelenskyy demanded tougher sanctions after a deadly Russian strike on a Dnipro apartment block.,https://apnews.com/video/zelenskyy-calls-for-more-sanctions-against-russia-after-dnipro-apartment-block-strike-3ad2cf29682742d3a3f3e41f459e4045,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-11-14,Zelenskyy says deadly Russian drone attack on Kyiv __ust not go unpunished_,Zelenskyy demands accountability after a major Russian attack on Kyiv.,https://apnews.com/video/zelenskyy-says-deadly-russian-drone-attack-on-kyiv-must-go-unpunished-092b0a0f0bda4fea96d50d2091f40262,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-08-19,Sen. Lindsey Graham says Trump ready to __rush_ Russian economy if Putin avoids talks with Zelenskyy,Graham says Trump will impose harsh sanctions if Putin refuses peace talks with Zelenskyy.,https://apnews.com/article/russia-sanctions-ukraine-trump-zelenskyy-war-negotiations-d94711651ab5b96f7b771c1fb3af1179,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-09-23,Zelenskyy laments Security Council inaction over Russian aggression,Zelenskyy criticizes UN inaction as Russia escalates attacks.,https://apnews.com/video/zelenskyy-laments-security-council-inaction-over-russian-aggression-15f8f16a130f42a78c22fc0d7ecd0109,Russia-Related Rhetoric,negative,zelensky_ap_filtered,,
2025-06-19,Zelenskyy calls for more pressure on Russia after deadly missile strike in Ukrainian capital Kyiv,Zelenskyy urges greater international pressure after a Russian missile strike killed 23 in Kyiv.,https://apnews.com/article/ukraine-zelenskyy-war-russia-missile-strike-91245843b6ef6f191313686458676b82,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-06-26,Zelenskyy approves plans on special tribunal to prosecute Russian leaders over Ukraine,Ukraine approved plans for a special tribunal to prosecute Russian leadership.,https://apnews.com/article/ukraine-russia-tribunal-zelenskyy-eaa224303d17a52e73c954b6ce612aae,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-06-14,Zelenskyy warns oil price surge could help Russia__ war effort,Zelenskyy says higher global oil prices will increase Russia__ wartime income.,https://apnews.com/article/russia-ukraine-war-iran-israel-zelenskyy-ba2a52ce82897f16f76f52d4b8e53b34,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-09-24,Zelenskyy to the UN: __e are now living through the most destructive arms race in history_,Zelenskyy warned world leaders about a dangerous global arms race.,https://apnews.com/video/zelenskyy-to-the-un-we-are-now-living-through-the-most-destructive-arms-race-in-history-9288b49fd3fd488582e780abf4ff1f2d,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-06-25,Trump meets with Zelenskyy and says higher NATO defense spending may deter future Russian aggression,Trump said NATO defense spending increases may deter future Russian aggression.,https://apnews.com/article/nato-ukraine-summit-zelenskyy-trump-2e95a3f3426d9037b7d1a89765f55a82,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-08-28,Zelenskyy says Russia__ bombardment of Kyiv shows Putin wants to continue war,Zelenskyy said Russia's massive bombardment shows Putin wants to continue the war.,https://apnews.com/video/zelenskyy-says-russias-bombardment-of-kyiv-shows-putin-wants-to-continue-war-8b6f423dcb364333bee4789c8a87b8fc,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-04-20,Zelenskyy says Russia is trying to create an __mpression of a ceasefire_ as attacks continue,Zelenskyy accused Russia of attacking immediately after declaring an Easter __ruce._,https://apnews.com/article/russia-ukraine-easter-ceasefire-zelenskyy-putin-attacks-934e5c2a493be32b605ddb84d955b34b,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-06-26,Zelenskyy calls for strong sanctions and oil price cap in address to European Council,Zelenskyy urged EU leaders to impose strong sanctions and a strict oil price cap.,https://apnews.com/video/zelenskyy-calls-for-strong-sanctions-and-oil-price-cap-in-address-to-european-council-cdc854fd1d72461a81016c1634efefb0,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-05-27,Zelenskyy says __ussia is counting on a prolonged war_,Zelenskyy said Russia is counting on a long war.,https://apnews.com/video/zelenskyy-says-russia-is-counting-on-a-prolonged-war-7391649a507c42729423a2933fca945f,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2025-04-28,Zelenskyy calls for stronger international pressure on Russia to end Ukraine war,Zelenskyy said Russia is __eceiving_ the U.S. about peace intentions.,https://apnews.com/video/zelenskyy-calls-for-stronger-international-pressure-on-russia-to-end-ukraine-war-b34cd4671f1b4a99a0666a94f5b51ff5,Russia-Related Rhetoric,neutral,zelensky_ap_filtered,,
2024-09-23,Zelenskyy warns Vance__ plan to give Russia seized land will lead to __lobal showdown_,Zelenskyy says Vance's proposal would trigger global war.,https://www.foxnews.com/world/zelenskyy-warns-vances-plan-ukrainian-lands-seized-russia-result-global-showdown,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-03-27,Zelenskyy sensationally predicts Putin 'will die soon',Zelenskyy claims Putin__ health is collapsing.,https://www.foxnews.com/world/zelenskyy-sensationally-predicts-putin-will-die-soon,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-08-17,'Our position is clear:' Zelenskyy and EU dismiss ceding Ukrainian land to Russia,Zelenskyy says Ukraine's constitution forbids territorial surrender.,https://www.foxnews.com/politics/our-position-clear-zelenskyy-eu-dismiss-ceding-ukrainian-land-russia,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-09-24,"Zelenskyy at UN: __eak_ global bodies can__ stop Putin, only __riends and weapons_ can",Zelenskyy warns UN that Putin plans wider war.,https://www.foxnews.com/world/zelenskyy-un-weak-global-bodies-cant-stop-putin-only-friends-weapons-can,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-09-24,"Zelenskyy at UN: __eak_ global bodies can__ stop Putin, only __riends and weapons_ can",Zelenskyy says UN can't stop Putin alone.,https://www.foxnews.com/world/zelenskyy-un-weak-global-bodies-cant-stop-putin-only-friends-weapons-can,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-11-20,Zelenskyy answers whether he's willing to cede Crimea,Zelenskyy refuses to concede Ukrainian territory.,https://www.foxnews.com/world/zelenskyy-answers-whether-hes-willing-cede-crimea-other-territory-peace-deal,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-09-07,Zelenskyy accuses Trump of giving Putin 'what he wanted' at Alaska summit,Zelenskyy criticizes Trump__utin summit outcome.,https://www.foxnews.com/media/zelenskyy-accuses-trump-giving-putin-what-he-wanted-alaska-summit,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
2025-09-25,Zelenskyy tells Kremlin leaders they should 'know where the bomb shelters are',Zelenskyy warns Moscow officials amid escalation.,https://www.foxnews.com/world/zelenskyy-tells-kremlin-leaders-should-know-where-bomb-shelters-ominous-warning,Russia-Related Rhetoric,neutral,zelensky_foxnews_filtered,,
