label,rank,word,tfidf
Aid Policies,1,aid,0.32909870063704694
Aid Policies,2,congress,0.2650256032962712
Aid Policies,3,russia,0.18312707927606864
Aid Policies,4,ukraine's,0.1465016634208549
Aid Policies,5,military,0.14177371641908953
Aid Policies,6,house,0.14134698842467794
Aid Policies,7,support,0.13712445859876957
Aid Policies,8,war,0.13086804592531343
Aid Policies,9,meeting,0.12393015552730065
Aid Policies,10,biden,0.12393015552730065
Diplomatic Engagements,1,trump,0.41272238036385184
Diplomatic Engagements,2,talks,0.20859093280998742
Diplomatic Engagements,3,russia,0.19339747631709836
Diplomatic Engagements,4,meeting,0.18405082306763595
Diplomatic Engagements,5,putin,0.16922279177746105
Diplomatic Engagements,6,war,0.16844048382102048
Diplomatic Engagements,7,said,0.15548352352709582
Diplomatic Engagements,8,met,0.15393903332999526
Diplomatic Engagements,9,house,0.1469418045422682
Diplomatic Engagements,10,european,0.1411056310185209
Domestic Governance,1,said,0.19953378695628346
Domestic Governance,2,corruption,0.14984806315835583
Domestic Governance,3,replaced,0.13409973936050992
Domestic Governance,4,gen,0.13409973936050992
Domestic Governance,5,anti,0.13409973936050992
Domestic Governance,6,dismissal,0.13409973936050992
Domestic Governance,7,zaluzhny,0.13409973936050992
Domestic Governance,8,valery,0.13409973936050992
Domestic Governance,9,general,0.12930658363159664
Domestic Governance,10,minister,0.1254437428865907
Economic Structure,1,trump,0.20233644273575213
Economic Structure,2,asset,0.18024855610991122
Economic Structure,3,private,0.18024855610991122
Economic Structure,4,manager,0.18024855610991122
Economic Structure,5,domestic,0.18024855610991122
Economic Structure,6,attracting,0.18024855610991122
Economic Structure,7,shattered,0.18024855610991122
Economic Structure,8,advised,0.18024855610991122
Economic Structure,9,final,0.18024855610991122
Economic Structure,10,preliminary,0.18024855610991122
Humanitarian Crisis,1,russian,0.22723890059791108
Humanitarian Crisis,2,kyiv,0.2032942828341209
Humanitarian Crisis,3,sunday,0.17143381272073768
Humanitarian Crisis,4,children,0.1706543520686626
Humanitarian Crisis,5,zaporizhzhia,0.1706543520686626
Humanitarian Crisis,6,civilians,0.1526310415784129
Humanitarian Crisis,7,bombardment,0.14726070382733522
Humanitarian Crisis,8,said,0.13634334035874665
Humanitarian Crisis,9,liberated,0.10181292370775302
Humanitarian Crisis,10,finding,0.10181292370775302
Media Representation,1,war,0.21297986620001735
Media Representation,2,russian,0.20045163877648692
Media Representation,3,russia,0.1963480544084251
Media Representation,4,trump,0.17327857503100982
Media Representation,5,house,0.1420796470444288
Media Representation,6,invasion,0.14024861029173222
Media Representation,7,world,0.12602078184073442
Media Representation,8,kyiv,0.12328913327791723
Media Representation,9,time,0.1217825546095104
Media Representation,10,said,0.1127540468117739
Military Operations,1,russia,0.3009473825377826
Military Operations,2,russian,0.2688324143181771
Military Operations,3,said,0.250910253363632
Military Operations,4,troops,0.2253475950162392
Military Operations,5,donetsk,0.16059817233246626
Military Operations,6,kyiv,0.1443030028597528
Military Operations,7,forces,0.14337728763636115
Military Operations,8,offensive,0.13459380226363854
Military Operations,9,war,0.125455126681816
Military Operations,10,battlefield,0.11614340807532342
Russia-Related Rhetoric,1,russia,0.3604194005528977
Russia-Related Rhetoric,2,russian,0.27112252696117933
Russia-Related Rhetoric,3,said,0.2457047900585688
Russia-Related Rhetoric,4,war,0.22028705315595823
Russia-Related Rhetoric,5,putin,0.1612402581420858
Russia-Related Rhetoric,6,says,0.13643651455678849
Russia-Related Rhetoric,7,accused,0.13286295252089655
Russia-Related Rhetoric,8,kyiv,0.11369709546399041
Russia-Related Rhetoric,9,plant,0.09608550264682728
Russia-Related Rhetoric,10,nations,0.09608550264682728
