date,title,short_opening,url,label,sentiment
2025-08-19,Zelenskyy is back in Trump's good books as the U.S. pushes for peace in Ukraine,"The last time Ukrainian President Volodymyr Zelenskyy was in the Oval Office he endured one of the most humiliating_diplomatic disputes ever captured on camera as he was chewed out by his American counterpart and dressed down for not dressing up. This time, he left with Trump floating American security guarantees if a peace deal is reached.",https://www.cbc.ca/news/world/zelenskyy-trump-oval-office-meeting-1.7611994,Media Representation,negative
2022-07-17,"Zelenskyy fires security chief, top prosecutor over treason concerns within their departments","Ukrainian President Volodymyr Zelenskyy fired the head of the country's security service and its prosecutor general on Sunday, citing hundreds of criminal proceedings into treason and collaboration by people within their departments.",https://www.cbc.ca/news/world/zelenskyy-fires-security-service-chief-prosecutor-general-1.6523496,Domestic Governance,neutral
2022-06-27,Zelensky asks G7 leaders for better air defences and tougher sanctions on Russia,"The ongoing war in Ukraine moved from being a_distant, abstract_conflict to something more tangible for_the leaders of the world's seven wealthiest democracies_on Monday with an address by the embattled country's president.",https://www.cbc.ca/news/politics/g7-summit-zelensky-1.6502456,Aid Policies,neutral
2022-06-25,"Russian forces now control Severodonetsk, but Zelensky vows Ukraine will re-take lost cities","Russian forces_seized full control of the Eastern Ukrainian city of Severodonetsk_on Saturday, confirming_Kyiv's biggest battlefield setback for more than a month,_after_weeks of some of the war's bloodiest fighting.",https://www.cbc.ca/news/world/ukraine-invasion-day-122-1.6501640,Military Operations,neutral
2022-06-22,"Information can land 'bigger blow' than weapons, Ukrainian President Zelensky tells Canadian students",Ukrainian President Volodymyr Zelensky told university students across Canada via video link Wednesday that his_country remains committed to democracy nearly four months after Russia invaded.,https://www.cbc.ca/news/canada/toronto/zelenskyy-university-student-address-1.6497237,Russia-Related Rhetoric,neutral
2022-06-03,"How Volodymyr Zelensky has rallied Ukraine, night after night, during 100 days of war","One hundred days into a Russian invasion, Ukrainian President Volodymyr Zelensky is speaking to his people every night and rallying them to the continued fight to expel the invading forces from within Ukraine's borders.",https://www.cbc.ca/news/world/zelensky-speeches-ukraine-war-russia-day-100-1.6477616,Media Representation,neutral
2022-06-02,"Russia currently occupying about 20% of Ukraine, Zelensky says","Russia tightened its grip on a key target in a battle for control of Ukraine's eastern Donbas region while Ukrainian President Volodymyr Zelensky pleaded for more Western arms to help Ukraine reach a battlefield ""inflection point"" and prevail in the war.",https://www.cbc.ca/news/world/ukraine-invasion-day-99-1.6474758,Military Operations,neutral
2022-05-23,"Impose 'maximum' sanctions on Russia, Ukraine's Zelensky urges World Economic Forum","Ukrainian President Volodymyr Zelensky_called for 'maximum' sanctions against Russia during speech to the World Economic Economic in Davos, Switzerland.",https://www.cbc.ca/news/world/davos-world-economic-forum-volodymyr-zelensky-1.6463112,Russia-Related Rhetoric,neutral
2022-05-23,"Russia waging 'total war' in Ukraine, says Zelensky","Ukrainian President Volodymyr Zelensky says Russia is waging ""total war"" on his country, and that includes inflicting as many casualties and destroying as much infrastructure as possible.",https://www.cbc.ca/news/world/russia-ukraine-war-may24-1.6463088,Russia-Related Rhetoric,neutral
2022-05-13,Zelensky hopeful Ukraine's forces making progress as battle for the Donbas rages,"In his nightly address Friday, Ukrainian President Volodymyr Zelensky said no one can predict how long the war will last but that his country's forces have been making progress, including retaking six Ukrainian towns or villages in the past day.",https://www.cbc.ca/news/world/ukraine-russia-war-crimes-trial-1.6451907,Military Operations,neutral
2022-05-10,"Ukraine needs more weapons to unblock siege of Mariupol, Zelensky says",A roundup of events on Day 76 of Russia's invasion of Ukraine: Official says bodies of 44 civilians found in rubble of building in northeastern city of Izyum; Lithuania votes to recognize genocide; and the United Nations estimates the civilian death toll is much higher than records show.,https://www.cbc.ca/news/world/russia-ukraine-war-genocide-1.6447550,Aid Policies,neutral
2022-04-24,Top U.S. officials meet with Zelensky in Ukraine as Russia continues to pound targets,The U.S. secretaries of state and defence met Sunday night with Ukrainian President Volodymyr Zelensky in the highest-level visit to the war-torn country's capital by an American delegation since the start of Russia's invasion.,https://www.cbc.ca/news/world/russia-ukraine-war-1.6429208,Diplomatic Engagements,neutral
2022-04-23,"Ukraine's Zelensky accuses Russian troops of mass civilian killings, coverup in Mariupol",Ukrainian President Volodymyr Zelensky said new evidence is emerging that shows Russian troops killed tens of thousands of civilians in Mariupol and then tried to cover it up.,https://www.cbc.ca/news/world/russia-ukraine-war-mariupol-1.6428775,Russia-Related Rhetoric,neutral
