date,title,short_opening,url,label,sentiment
2025-11-19,Top Ukrainian ministers submit resignations amid scandal,"KYIV, Ukraine -- As Russia�s renewed attacks on Ukraine�s energy infrastructure cause rolling blackouts ahead of winter, a major embezzlement and kickbacks scandal involving the state-owned nuclear power company has put top officials under scrutiny.",https://www.ctvnews.ca/world/article/zelenskyy-seeks-dismissal-of-justice-and-energy-ministers-in-ukrainian-corruption-probe/,Domestic Governance,neutral
2025-11-13,Georgia__ jailed ex-leader Saakashvili asks Zelensky to exchange him in POW swap,"Georgia�s jailed ex-president Mikheil Saakashvili, who has Ukrainian citizenship, has on Thursday appealed to Ukraine�s President Volodymyr Zelensky to exchange him in a prisoner swap with Russia.",https://www.ctvnews.ca/world/article/georgias-jailed-ex-leader-saakashvili-asks-zelensky-to-exchange-him-in-pow-swap/,Diplomatic Engagements,neutral
2025-08-09,Zelensky discusses __iplomatic situation_ in Ukraine with Macron,"Kyiv, Ukraine � Ukraine President Volodymyr Zelensky said on Saturday he discussed the �diplomatic situation� in Ukraine with French counterpart Emmanuel Macron, after Russia and the United States agreed to hold a summit without Kyiv.",https://www.ctvnews.ca/world/russia-ukraine-war/article/zelensky-discusses-diplomatic-situation-in-ukraine-with-macron/,Diplomatic Engagements,neutral
2025-02-22,CTV National News: Zelensky calls for more support from allies,President Zelensky calls for more support from allies as the Ukraine-Russia war nears its three-year anniversary. ,https://www.ctvnews.ca/video/2025/02/23/ctv-national-news-zelensky-calls-for-more-support-from-allies-as-war-nears-three-year-mark/,Aid Policies,neutral
2022-03-28,Zelensky briefs Trudeau as ceasefire talks resume,OTTAWA � Ukrainian President Volodymyr Zelensky gave Prime Minister Justin Trudeau an update Monday on new ceasefire talks with Russia that are being held amid Ukrainian claims of military gains against Russian forces.,https://www.ctvnews.ca/politics/article/zelensky-briefs-trudeau-as-ceasefire-talks-with-russia-to-resume-in-turkey/,Diplomatic Engagements,neutral
2022-03-24,Live updates: Zelensky reassures Ukraine in nightly address,"LVIV, Ukraine -- With the war headed into its second month, Ukrainian President Volodymyr Zelensky spoke of hope and determination in his nighttime video address to the nation late Thursday.",https://www.ctvnews.ca/world/article/live-updates-zelensky-reassures-ukraine-in-nightly-address/,Media Representation,positive
2022-03-21,Live updates: Zelensky hails protesters confronting troops,"KYIV, Ukraine -- Ukrainian President Volodymyr Zelenskyy said late Monday he was prepared to discuss a commitment from Ukraine not to seek NATO membership in exchange for a cease-fire, the withdrawal of Russian troops and a guarantee of Ukraine's security.",https://www.ctvnews.ca/world/article/live-updates-zelensky-hails-protesters-confronting-troops/,Domestic Governance,positive
2022-03-20,Zelensky: 'I'm ready for negotiations' with Putin,"Ukrainian President Volodymyr Zelensky said Sunday that he's ""ready for negotiations"" with Russian President Vladimir Putin but warned that if they fail ""that would mean that this is a third World War.""",https://www.ctvnews.ca/world/article/zelensky-im-ready-for-negotiations-with-putin-but-if-they-fail-it-could-mean-a-third-world-war/,Diplomatic Engagements,neutral
2022-03-19,Live updates: Zelensky calls Mariupol terror a war crime,"LVIV, Ukraine -- Ukrainian President Volodymyr Zelensky said the siege of Mariupol will go down in history for what he's calling war crimes by Russia's military.",https://www.ctvnews.ca/world/article/live-updates-zelensky-calls-mariupol-terror-a-war-crime/,Russia-Related Rhetoric,neutral
2022-03-17,Live updates: Zelensky mum on specifics of new U.S. aid,"LVIV, Ukraine -- Ukrainian President Volodymyr Zelensky said he was thankful to U.S. President Joe Biden for the additional military aid but said he would not say specifically what the new package included because he didn't want to tip off Russia.",https://www.ctvnews.ca/world/article/live-updates-zelensky-mum-on-specifics-of-new-us-aid/,Aid Policies,neutral
2022-03-16,Zelensky invokes Sept. 11 in appeal to U.S. Congress,Zelensky references U.S. tragedies to appeal for aid ...,https://www.ctvnews.ca/world/article/zelensky-invokes-sept-11-terror-attacks-in-appeal-to-u-s-congress/,Diplomatic Engagements,neutral
2022-03-14,"'Please, close the sky': Zelensky addresses Canada__ Parliament",Ukrainian President Volodymyr Zelensky made direct pleas to Canada to further assist his country in its fight against the ongoing Russian attacks during his straightforward and emotional address to Parliament on Tuesday.,https://www.ctvnews.ca/politics/article/please-close-the-sky-says-ukraine-president-zelensky-in-address-to-canadas-parliament/,Diplomatic Engagements,neutral
2022-03-14,Zelensky latest in long list of world leaders to address Parliament,"When Ukrainian President Volodymyr Zelensky addresses Parliament on Tuesday, he will be the third Ukrainian president to do so, joining a long list of world leaders and dignitaries to give a joint address to Canadian parliamentarians.",https://www.ctvnews.ca/politics/article/zelensky-latest-in-long-list-of-world-leaders-to-address-parliament-third-ukrainian-president/,Diplomatic Engagements,neutral
2022-03-13,"Live updates: 'Black day' after Russian attack, Zelensky says","LVIV, Ukraine � Ukrainian President Volodymyr Zelensky has said he will continue negotiating with Russia and is waiting for a meeting with Vladimir Putin.",https://www.ctvnews.ca/world/article/live-updates-black-day-after-russian-attack-zelensky-says/,Russia-Related Rhetoric,neutral
2022-03-12,Live updates: Zelensky warns against 'pseudo-republics',"LVIV, Ukraine -- Russia is trying to create new ""pseudo-republics"" in Ukraine to break his country apart, President Volodymyr Zelensky said in his nightly address to the nation Saturday.",https://www.ctvnews.ca/world/article/live-updates-zelensky-warns-against-pseudo-republics/,Russia-Related Rhetoric,neutral
2022-03-10,Ukrainian President Zelensky to address Canadian Parliament,Ukrainian President Volodymyr Zelensky will address Canada�s Parliament on Tuesday.,https://www.ctvnews.ca/politics/article/ukrainian-president-zelensky-to-address-canadian-parliament-on-tuesday/,Diplomatic Engagements,neutral
2022-03-10,Trudeau rejects Zelensky's request for a no-fly-zone,Prime Minister Justin Trudeau says he was forced to deny Ukrainian President Volodymyr Zelensky�s request to authorize a no-fly zone over Ukraine citing fears about triggering an escalation from Russian forces.,https://www.ctvnews.ca/world/article/trudeau-rejects-zelenskys-request-for-a-no-fly-zone-citing-fears-of-russian-escalation/,Diplomatic Engagements,negative
2022-03-05,U.S. senators criticized after tweeting photos of Zoom call with Zelensky,U.S. Republican senators Marco Rubio and Steve Daines are being criticized after tweeting photos of a video call with Ukrainian President Volodymyr Zelensky on Saturday. Some of their colleagues say the photos could put Zelensky in danger.,https://www.ctvnews.ca/world/article/us-senators-criticized-after-tweeting-photos-of-zoom-call-with-zelensky/,Media Representation,neutral
