date,title,short_opening,url,label,sentiment
2025-10-17,Trump hosts Zelenskyy as plans for a Putin meeting are underway,Deepa Shivaram President Trump met with Ukrainian President Volodymyr Zelenskyy after announcing he is scheduling another face-to-face with Russian President Vladimir Putin.,https://www.npr.org/2025/10/17/nx-s1-5577846/trump-hosts-zelenskyy-as-plans-for-a-putin-meeting-are-underway,Diplomatic Engagements,neutral
2025-10-17,"Bolton Indicted, Trump and Zelenskyy Meeting, Rebuilding Gaza","John Bolton is indicted on 18 counts for allegedly mishandling classified information dating back to his time as national security advisor during President Trump__ first term. President_Volodymyr Zelenskyy meets with President Trump at the White House to discuss Ukraine's request for long-range missiles, Trump says he will meet with Russia's president in Hungary next. And the scale of Gaza__ reconstruction is staggering, with unexploded bombs buried in the rubble, nearly all buildings damaged or destroyed and major questions about who will lead the reconstruction.Want more comprehensive analysis of the most important news of the day, plus a little fun?Subscribeto the Up First newsletter. It was produced by Ziad Buchh, Nia Dumas and Milton Guevara.",https://www.npr.org/2025/10/17/nx-s1-5577632/bolton-indicted-trump-and-zelenskyy-meeting-rebuilding-gaza,Diplomatic Engagements,neutral
2025-10-17,"Trump and Zelenskyy to meet. And, John Bolton indicted for mishandling classified info",Ukrainian President Volodymyr Zelenskyy is expected to meet with President Trump today in the White House for the third time this year. Zelenskyy is seeking long-range weapons that could strike targets deep inside Russia and assistance from the president to secure a ceasefire deal that would benefit Ukraine.,https://www.npr.org/2025/10/17/g-s1-93955/up-first-newsletter-john-bolton-volodymyr-zelenskyy-gaza,Diplomatic Engagements,neutral
2025-10-17,Zelenskyy is set to meet Trump at the White House. Here's what to expect,Michele Kelemen President Trump meets with Ukrainian President Volodymyr Zelenskyy at the White House on Aug. 18 for a bilateral meeting and later an expanded meeting with European leaders to discuss a peace deal between Russia and Ukraine.Anna Moneymaker/Getty,https://www.npr.org/2025/10/17/g-s1-93697/zelenskyy-trump-white-house-meeting,Media Representation,neutral
2025-09-24,Ukraine's Zelenskyy issues a stark warning about a global arms race and AI war,Ukrainian President Volodymyr Zelenskyy addresses the 80th session of the U.N. General Assembly in New York on Wednesday.Richard Drew,https://www.npr.org/2025/09/24/nx-s1-5552206/ukraine-zelenskyy-un-general-assembly-trump,Russia-Related Rhetoric,neutral
2025-09-24,Zelenskyy touted Ukraine's ingenuity against Russia in UN address,"Michele Kelemen Ukrainian President Volodymyr Zelenskyy addresses the U.N. General Assembly, as diplomats struggle to stop Russia's aggression.",https://www.npr.org/2025/09/24/nx-s1-5546755/zelenskyy-touted-ukraines-ingenuity-against-russia-in-un-address,Russia-Related Rhetoric,positive
2025-08-18,Trump and Zelenskyy meet again,"In the last few days, President Trump has met separately with the presidents of Russia and Ukraine, in an attempt to break the deadlock and end the war.Today__ meeting at the White House between Trump and Ukrainian President Volodymyr Zelenskyy seemed to go much better than last time, when Zelenskyy left early after a heated argument in the Oval Office. In fact, Zelenskyy hailed today__ meeting as __he best one_ yet.Even so, the next steps to ending the war are unclear. Russian President Vladimir Putin and Zelenskyy still haven__ met face-to-face to negotiate, and it__ not certain whether they will be able to find common ground.NPR White House correspondent Danielle Kurtzleben gives an update on the day__ events, and former national security adviser Susan Rice gives her perspective on the likelihood of a deal.",https://www.npr.org/2025/08/18/nx-s1-5506314/trump-and-zelenskyy-meet-again,Diplomatic Engagements,positive
2025-08-18,"Zelenskyy Meets Trump, Gaza Latest, More National Guard Troops to D.C.",President Trump will host Ukraine's Volodymyr Zelenskyy and European leaders at the White House. Israelis protest to demand a hostage deal as the military and government leaders pursue plans to occupy Gaza City. And growing number of National Guard troops are on their way to the nation's capital.,https://www.npr.org/2025/08/18/nx-s1-5505913/zelenskyy-meets-trump-gaza-latest-more-national-guard-troops-to-d-c,Diplomatic Engagements,neutral
2025-08-18,Zelenskyyand European leaders to meet with Trump at White House on Monday,"President Trump hosts Ukraine's president Volodymyr Zelenskyy at the White House this afternoon. It's a meeting that could go a long way toward deciding Ukraine's future. It comes three days after Trump and Russia's leader Vladimir Putin met in Alaska, and it's all part of Trump's big push to broker an end to the Ukraine-Russia war.",https://www.npr.org/2025/08/18/nx-s1-5505368/zelenskyy-and-european-leaders-to-meet-with-trump-at-white-house-on-monday,Diplomatic Engagements,neutral
2025-08-18,"The latest on Trump's meeting withZelenskyy, other leaders",President Trump meets his Ukrainian counterpart and European leaders as he tries to broker an end to Russia's war on Ukraine.,https://www.npr.org/2025/08/18/nx-s1-5504610/the-latest-on-trumps-meeting-with-zelenskyy-other-leaders,Diplomatic Engagements,neutral
