date,title,shortopening,url,label,sentiment
2024-02-12,Zelensky__ Military Shake-Up Ties Him to Battlefield Performance,The decision to replace Ukraine__ popular top general comes as the army is struggling to hold back Russian forces.,https://www.wsj.com/world/zelenskys-military-shake-up-ties-him-to-battlefield-performance-8c94399d,Domestic Governance,negative
2024-02-05,"Ukraine__ Zelensky, Facing Rising Challenges, Touts Leadership Overhaul",The Ukrainian president is considering a leadership shuffle aimed at reinvigorating efforts to combat Russia__ invasion.,https://www.wsj.com/world/europe/ukraines-zelensky-facing-rising-challenges-touts-leadership-overhaul-db96ab08,Domestic Governance,negative
2025-05-03,Face-to-Face at the Vatican: How Trump and Zelensky Made Up,"The Ukrainian president__ showmanship helped rally the world against the Russian invasion, but it has grated on President Trump.",https://www.wsj.com/world/europe/face-to-face-at-the-vatican-how-trump-and-zelensky-made-up-344cb932,Diplomatic Engagements,positive
2023-09-24,Zelensky__ Blunt Talk Wins Support but Also Irks Friends,"Ukraine__ president, a novice politician, has defied expectations with his diplomatic savvy, though he has repeatedly overstepped.",https://www.wsj.com/world/europe/zelenskys-blunt-talk-wins-support-but-also-irks-friends-1c8c2553,Media Representation,positive
2022-05-12,Who Is Volodymyr Zelensky? What to Know About Ukraine__ President,The former actor and comedian now leads his country__ resistance to Russia__ invasion.,https://www.wsj.com/world/europe/who-is-volodymyr-zelensky-ukrainian-president-11646161781,Media Representation,positive
2024-06-26,Zelensky__ Formidable Task: Keeping the West and His Citizens On Board,The Ukrainian president has maintained support at home and in Europe despite a shortage of troops and tensions with the U.S.,https://www.wsj.com/world/europe/zelenskys-formidable-task-keeping-the-west-and-his-citizens-on-board-694df7dd,Media Representation,positive
2022-02-08,"Ukraine__ Zelensky Wants to Fend Off Russia__nd America, Too",The comic-turned-president is trying to navigate ambitions of both Moscow and Washington.,https://www.wsj.com/world/europe/ukraine-russia-invasion-zelensky-biden-11644334948,Media Representation,neutral
2022-07-22,Zelensky Says No Cease-Fire Until Russia Returns Land,Zelensky acknowledged the cost exacted by Russia__ invasion and praised allies for supporting Ukraine.,https://www.wsj.com/world/europe/ukraines-zelensky-says-a-cease-fire-with-russia-without-reclaiming-lost-lands-will-only-prolong-war-11658510019,Russia-Related Rhetoric,positive
2023-04-05,Zelensky Visits Poland as Ukraine Pursues Support for Offensive,Zelensky's visit came amid diplomacy aimed at expediting an outcome to the war.,https://www.wsj.com/articles/russia-strengthens-defenses-in-occupied-ukraine-as-zelensky-visits-poland-62f32f22,Diplomatic Engagements,neutral
2025-03-01,"Zelensky, Who Stood Up to Putin, Now Refuses to Bow to Trump",Past experiences with Trump stiffened Zelensky__ resolve not to be treated like a pawn.,https://www.wsj.com/world/europe/zelensky-ukraine-president-future-a454d1bc,Media Representation,positive
