date,title,short_opening,url
2025/2/19,Ukraine says it will defend existence as Trump calls Zelenskyy a __ictator_,"Ukrainian President Volodymyr Zelenskyy said he __ould like Trump__ team to be more truthful"" after Trump suggested Ukraine __hould have never started_ the war.",https://globalnews.ca/news/11024883/donald-trump-disinformation-space-zelenskyy/
2024/11/24,"Ukraine needs better air defences, Zelenskyy says after Russian drone attack","Ukraine also battled a fierce counterattack by Moscow in the Russian territory of Kursk, and showed journalists the remains of a new ballistic missile fired by Russia last week.",https://globalnews.ca/news/10885946/ukraine-zelenskyy-air-defence-kursk-missiles-russia/
2024/11/16,"Ukraine war likely to end more quickly under Trump, Zelenskyy says","'From our side, we must do everything so that this war ends next year, ends through diplomatic means,' Zelenskyy said in a Ukrainian radio interview aired on Saturday.",https://globalnews.ca/news/10873215/volodymyr-zelenskyy-ukraine-war-1000-days/
2024/10/16,Zelenskyy says Ukraine __ictory plan_ will force Russia toward peace,"Zelenskyy told parliament his plan contained_five main points_that were in the hands of his allies, including an unconditional invite to join NATO now and weapons support.",https://globalnews.ca/news/10814425/zelenskyy-ukraine-victory-plan-russia/
2024/9/27,"Trump, meeting with Zelenskyy, says he has __ood relationship_ with Putin","As he was preparing to sit down for the Friday meeting, Trump was asked by a reporter if Ukraine could win the war and he replied, __ure. They could._",https://globalnews.ca/news/10778799/trump-ukraine-war-meeting-zelenskyy-putin/
2024/9/26,"Harris, Biden pledge continued Ukraine support as Zelenskyy visits Washington","The bulk of the new aid, US$5.5 billion, is to be allocated before Monday's end of the U.S. fiscal year, when the funding authority is set to expire.",https://globalnews.ca/news/10777015/biden-8-billion-ukraine-military-aid-zelenskyy-washington-visit/
2024/8/23,"Biden speaks to Zelenskyy, pledges U.S. military aid for Ukraine Independence Day","The U.S. also imposed sanctions on more than 400 entities and individuals for supporting Russia's war effort in Ukraine, including Chinese companies.",https://globalnews.ca/news/10713423/ukraine-zelenskyy-biden-aid-independence-day/
2024/5/9,Ukraine__ Zelenskyy fires state guard head after 2 accused in assassination plot,The move came as Zelenskyy said his country's army is facing __ really difficult situation_ in eastern regions where troops are battling to hold back Russia.,https://globalnews.ca/news/10486088/ukraine-zelenskyy-assassination-state-guard/
2024/5/7,Ukraine says it foiled a Russian spy plot to assassinate Zelenskyy,"Two colonels in the State Guard of Ukraine were detained on suspicion of enacting the plan drawn up by Russia__ Federal Security Service, a statement said.",https://globalnews.ca/news/10479566/ukraine-zelenskyy-assassination-plot-russia-fsb/
2024/3/30,Zelenskyy fires more aides in reshuffle as Russia launches attacks across Ukraine,No explanation was given immediately for the latest changes in the Ukraine president's wide-reaching personnel shakeup over recent months.,https://globalnews.ca/news/10392929/zelenskyy-fires-aides-russia-attacks/
