date,title,short_opening,url
Yesterday,Zelenskyy visits Picasso__ __uernica_ painting after drawing parallel to Ukraine__ bombing,Ukraine__ President Volodymyr Zelenskyy visited Spain and stopped to see Pablo Picasso__ __uernica_ in Madrid.,https://apnews.com/article/zelenskyy-ukraine-spain-russia-war-ed58ec3cd0d7995b9e9dff3090a30076
16-Nov,Greece and Ukraine sign a US gas supply deal as Zelenskyy visits Athens,An agreement to supply Ukraine with U.S. liquefied natural gas has been signed in Athens during Ukrainian President Volodymyr Zelenskyy__ visit to Greece.,https://apnews.com/article/lng-us-energy-ukraine-greece-deal-gas-f749e45a3cbea1de6fe664f9a09631f6
Yesterday,Zelenskyy will visit Turkey in a new bid to jump-start talks to end Russia__ invasion,"Ukrainian President Volodymyr Zelenskyy plans to visit Turkey this week to revive talks on ending Russia__ invasion, which began nearly four years ago.",https://apnews.com/article/russia-ukraine-war-turkey-negotiations-spain-france-6a739b523cb926d92f2bf44b24dfc3c3
10-Nov,Zelenskyy seeks Patriot systems from US to counter Russia__ power grid attacks,President Volodymyr Zelenskyy says he wants to order 25 Patriot air defense systems from the United States as Ukraine tries to fend off relentless Russian aerial attacks.,https://apnews.com/article/russia-ukraine-war-power-patriots-drones-missiles-d954d3ad6a3b6c91dbb1d86f886843d5
13-Oct,Zelenskyy to visit Washington this week seeking long-range weapons and a Trump meeting,Ukrainian President Volodymyr Zelenskyy says he will travel to the United States this week for talks on the potential U.S. provision of long-range weapons.,https://apnews.com/article/russia-ukraine-war-trump-zelenskyy-eu-5350381ba83ce1f53928ac435d4c4e7d
16-Nov,Zelenskyy says Ukraine is working on a prisoner exchange with Russia,"Ukraine is working to resume prisoner exchanges with Russia that could bring home 1,200 Ukrainian prisoners.",https://apnews.com/article/ukraine-russia-prisoner-exchange-zelenskyy-istanbul-drones-b66ea7f9ad1ae4072861b732437b301a
16-Oct,Russian barrage causes blackouts in Ukraine as Zelenskyy seeks Trump__ help,"Russia has launched a heavy bombardment on Ukraine__ energy facilities, using hundreds of drones and dozens of missiles.",https://apnews.com/article/russia-ukraine-war-trump-zelenskyy-visit-attacks-78c1b21fde3494786b0dfe0268c4a21e
14-Oct,"Russian aerial attack hits a Ukrainian hospital, days before Zelenskyy meets Trump",Ukrainian President Volodymyr Zelenskyy says Russian forces launched powerful glide bombs and drones against Kharkiv.,https://apnews.com/article/russia-ukraine-zelenskyy-trump-tomahawks-a8ad84233358f7592fa11cda08e82610
15-Oct,Ukrainian officials meet with US weapons manufacturers before Trump-Zelenskyy talks,A Ukrainian delegation met major American weapons manufacturers on a U.S. visit.,https://apnews.com/article/russia-ukraine-war-trump-zelenskyy-weapons-31e8d494c92300524a0f50cebff28f7d
3-Oct,Zelenskyy warns that Russian drones endanger Chernobyl and other nuclear plants in Ukraine,Russian attacks raise concerns about nuclear safety; a drone cut power at Chernobyl for 3 hours.,https://apnews.com/article/russia-ukraine-drones-chernobyl-nuclear-plant-c451827a8a842d634203c0111131d152
29-Aug,Zelenskyy seeks talks with Trump and European leaders on slow progress of peace efforts with Russia,Zelenskyy says Ukraine wants meetings with Trump and EU leaders to discuss peace talks.,https://apnews.com/article/russia-ukraine-kyiv-attack-putin-trump-47e0fa10cded79063cf8cb9db7a2bcb7
17-Aug,European leaders to join Ukraine__ Zelenskyy for meeting with Trump,European and NATO leaders will join Zelenskyy in Washington for talks with Trump.,https://apnews.com/article/european-leaders-white-house-meeting-zelenskyy-trump-d7b082bae4136ef8932e16ac2d166303
18-Aug,"Back in the Oval Office, Zelenskyy wears a blazer and Trump doesn__ shout",Zelenskyy and Trump meet again in the Oval Office with a notably calmer tone.,https://apnews.com/article/zelenskyy-trump-blazer-white-house-russia-ukraine-war-81ce5677450d039552aa12e134739da6
16-Sep,Zelenskyy calls for a European air defense system as Russian strike wounds 20,Russian bombardment on Zaporizhzhia wounded 20 people including children.,https://apnews.com/article/russia-ukraine-war-zelenskyy-trump-3147203ffd293b9518655f910711d801
19-Aug,Zelenskyy deploys gratitude diplomacy for second visit to Oval Office,Zelenskyy expresses strong gratitude toward Trump during Oval Office meeting.,https://apnews.com/article/thank-you-diplomacy-trump-zelenskyy-russia-ukraine-d2f4ce2a0a27f81dba8ea07f5fb1bfd3
31-Aug,Zelenskyy announces arrest in shooting death of pro-Western Ukrainian politician Andriy Parubiy,Ukraine arrests a suspect in the killing of former parliament speaker Parubiy.,https://apnews.com/article/ukraine-parubiy-killed-lviv-3f322375d0a7c694bd0909018ceb0382
31-Oct,"Russia deploys 170,000 troops for push in Ukraine__ Donetsk region, Zelenskyy says","Russia has deployed 170,000 troops in Donetsk aiming to seize Pokrovsk.",https://apnews.com/article/russia-ukraine-war-missile-united-nations-4624a6463aa3637e2d47baec9c5edcbe
12-Aug,Zelenskyy says Putin wants the rest of Ukraine__ Donetsk region as part of a ceasefire,"Putin wants Ukraine to withdraw from remaining 30% of Donetsk, Zelenskyy says.",https://apnews.com/article/europe-trump-putin-summit-ukraine-territory-ba56ddbd24d1b7e8e0aca7754d0f180a
9-Aug,"Zelenskyy rejects formally ceding Ukrainian territory, says Kyiv must be part of any negotiations",Ukrainian President Volodymyr Zelenskyy has rejected the idea of giving up land to end the war with Russia.,https://apnews.com/article/russia-ukraine-war-putin-trump-summit-zelenskyy-a01a6dbae85b10cc710c48f1558c1401
17-Oct,"After Zelenskyy meeting, Trump calls on Ukraine and Russia to __top where they are_ and end the war",President Donald Trump is calling on Kyiv and Moscow to __top where they are_ and end their brutal war.,https://apnews.com/article/trump-zelenskyy-putin-ukraine-tomahawks-ce697e5eda6ce9793b4343499d105a8c
17-Sep,"Ukraine expects $3.5 billion fund for US weapons to sustain fight against Russia, Zelenskyy says",Ukraine expects to have a $3.5 billion fund by next month to buy weapons from the U.S. and sustain its defense.,https://apnews.com/article/russia-ukraine-war-us-weapons-minerals-86894a9ce6c86cede42d1adca8569d5e
18-Aug,"Takeaways from Trump__ meeting with Zelenskyy and Europeans: Praise, security talks, more meetings",President Donald Trump says the U.S. could support a European force in Ukraine to maintain lasting peace.,https://apnews.com/article/russia-ukraine-war-trump-zelensky-what-to-know-f70e7c231251f263a66772d954eefff5
16-Oct,Zelenskyy arrives in the US ahead of his meeting with Trump,Ukrainian President Volodymyr Zelenskyy arrived in the U.S. ahead of his meeting with President Trump.,https://apnews.com/video/ukraine-president-zelenskyy-arrives-in-the-us-ahead-of-his-meeting-with-trump-8dc38d9658954e97abf8fa63215e2217
9-Nov,Zelenskyy calls for more sanctions against Russia after Dnipro apartment block strike,Zelenskyy demanded tougher sanctions after a deadly Russian strike on a Dnipro apartment block.,https://apnews.com/video/zelenskyy-calls-for-more-sanctions-against-russia-after-dnipro-apartment-block-strike-3ad2cf29682742d3a3f3e41f459e4045
1-Oct,Zelenskyy and UN atomic agency head warn of heightened risk at huge Ukrainian nuclear plant,Ukraine and the UN nuclear agency warn of rising risks at the occupied Zaporizhzhia plant.,https://apnews.com/article/russia-ukraine-war-zaporizhzhia-nuclear-plant-85e5b1512918d7293702429b808483bc
18-Aug,Trump begins planning for Putin-Zelenskyy meeting while affirming US help with security guarantees,Trump says he is arranging a meeting between Putin and Zelenskyy to work toward ending the war.,https://apnews.com/article/trump-putin-zelenskyy-russia-ukraine-war-d0ad768453210db23fe4b108f7b87135
23-Jul,Zelenskyy faces backlash as Ukrainians protest new anti-corruption law,Ukrainians protest a new law they say weakens anti-corruption institutions.,https://apnews.com/article/russia-ukraine-war-corruption-protests-zelenskyy-talks-fb2fdeb3fbf36a37b2e1eefb385bac87
16-Oct,Trump says he__l meet with Putin in Hungary. He first meets Friday with Zelenskyy at the White House,Trump plans to meet Zelenskyy before a scheduled sit-down with Putin.,https://apnews.com/article/trump-zelenskyy-putin-russia-ukraine-e3a1d62d2a24f459aa6dbbfa940e1067
14-Nov,Zelenskyy says deadly Russian drone attack on Kyiv __ust not go unpunished_,Zelenskyy demands accountability after a major Russian attack on Kyiv.,https://apnews.com/video/zelenskyy-says-deadly-russian-drone-attack-on-kyiv-must-go-unpunished-092b0a0f0bda4fea96d50d2091f40262
19-Aug,Sen. Lindsey Graham says Trump ready to __rush_ Russian economy if Putin avoids talks with Zelenskyy,Graham says Trump will impose harsh sanctions if Putin refuses peace talks with Zelenskyy.,https://apnews.com/article/russia-sanctions-ukraine-trump-zelenskyy-war-negotiations-d94711651ab5b96f7b771c1fb3af1179
10-Jan,Zelenskyy meets US Defence Secretary Austin in Germany,Zelenskyy and Austin urge continued U.S. military support for Ukraine.,https://apnews.com/video/lloyd-austin-volodymyr-zelenskyy-ukraine-government-vladimir-putin-austin-zelenskyy-a563dac1eb044541a599754b03b9c4b3
17-Oct,Zelenskyy says Trump now has __omentum_ to stop Russia-Ukraine war,Zelenskyy says Trump now has momentum needed to help end the war.,https://apnews.com/video/zelenskyy-says-trump-now-has-momentum-to-stop-russia-ukraine-war-a1b5e62d58634e3a8a91f9b84f3f4cb3
23-Oct,"Zelenskyy meets with Macron, Merz and other EU leaders on sidelines of Brussels summit",Zelenskyy held several bilateral meetings at the EU summit in Brussels.,https://apnews.com/video/zelenskyy-meets-with-macron-merz-and-other-eu-leaders-on-sidelines-of-brussels-summit-5912b79ebfd5401c88684c87dcad3fc0
24-Oct,Zelenskyy meets King Charles at Windsor Castle,Zelenskyy met King Charles to discuss European security commitments.,https://apnews.com/video/zelenskyy-meets-king-charles-at-windsor-castle-0dde6a5ab14f4af7ae7c26a274bd11d7
23-Sep,Zelenskyy laments Security Council inaction over Russian aggression,Zelenskyy criticizes UN inaction as Russia escalates attacks.,https://apnews.com/video/zelenskyy-laments-security-council-inaction-over-russian-aggression-15f8f16a130f42a78c22fc0d7ecd0109
16-Nov,Greece and Ukraine sign a US gas supply deal as Zelenskyy visits Athens,Ukraine signs deal to import U.S. natural gas via Greece.,https://apnews.com/video/greece-and-ukraine-sign-a-us-gas-supply-deal-as-zelenskyy-visits-athens-f0f89f9f069d4dffafd8d1d030222174
