date,title,url
2025-08-19,Zelenskyy is back in Trump's good books as the U.S. pushes for peace in Ukraine,https://www.cbc.ca/news/world/zelenskyy-trump-oval-office-meeting-1.7611994
2025-03-02,"Trump's treatment of Zelenskyy a 'disgrace' and 'embarrassment,' Manitoba Ukrainian says",https://www.cbc.ca/news/canada/manitoba/manitoba-ukrainian-community-donald-trump-reaction-1.7472577
2024-03-22,Patron the bomb-sniffing dog is a national hero in Ukraine,https://www.cbc.ca/news/patron-the-bomb-sniffing-dog-is-a-national-hero-in-ukraine-1.7155928
2024-02-25,Ukraine reveals the human cost of two years of war,https://www.cbc.ca/news/thenational/ukraine-reveals-the-human-cost-of-two-years-of-war-1.7125455
2024-02-06,Trudeau faces tough questions over Nazi unit veteran invite,https://www.cbc.ca/news/thenational/trudeau-faces-tough-questions-over-nazi-unit-veteran-invite-1.7107249
2024-02-05,"CBC's Natalie Kalata speaks with Andrew Rasiulis, Retired Department of National Defence, about the on-going war in Ukraine and the friction between Zelensky and his top commander",https://www.cbc.ca/news/cbc-s-natalie-kalata-speaks-with-andrew-rasiulis-retired-department-of-national-defence-about-the-on-going-war-in-ukraine-and-the-friction-between-zelensky-and-his-top-commander-1.7105291
2024-02-04,"CBC's Natalie Kalata speaks with Andrew Rasiulis, Retired Department of National Defence, about the on-going war in Ukraine and the friction between Zelensky and his top commander",https://www.cbc.ca/news/cbc-s-natalie-kalata-speaks-with-andrew-rasiulis-retired-department-of-national-defence-about-the-on-going-war-in-ukraine-and-the-friction-between-zelensky-and-his-top-commander-1.7104699
2024-01-16,Zelenskyy pleads for support at World Economic Forum,https://www.cbc.ca/news/thenational/zelenskyy-pleads-for-support-at-world-economic-forum-1.7086032
2024-01-02,Putin vows to intensify attacks on Ukraine,https://www.cbc.ca/news/thenational/putin-vows-to-intensify-attacks-on-ukraine-1.7073075
2023-12-29,Russia launches most intensive attack on Ukraine since invasion began,https://www.cbc.ca/news/thenational/russia-launches-most-intensive-attack-on-ukraine-since-invasion-began-1.7071581
2023-12-12,Ukrainian President Zelenskyy appeals to U.S. Congress for more aid,https://www.cbc.ca/news/thenational/ukrainian-president-zelenskyy-appeals-to-u-s-congress-for-more-aid-1.7057386
2022-02-28,Volodymyr Zelensky: From TV star to war hero,https://www.cbc.ca/news/thenational/volodymyr-zelensky-from-tv-star-to-war-hero-1.6368126
2023-09-24,House Speaker apologizes for honouring Ukrainian who fought with Nazi unit,https://www.cbc.ca/news/thenational/house-speaker-apologizes-for-honouring-ukrainian-who-fought-with-nazi-unit-1.6977215
2023-09-22,Zelenskyy asks Canada for continued support against Russia,https://www.cbc.ca/news/thenational/zelenskyy-asks-canada-for-continued-support-against-russia-1.6976449
2023-09-21,Biden welcomes Zelenskyy in 2nd wartime visit,https://www.cbc.ca/news/thenational/biden-welcomes-zelenskyy-in-2nd-wartime-visit-1.6974954
