date,title,short_opening,url
2025/11/19,Russian attack kills 25 as Zelenskyy meets Erdogan in Turkiye,Zelenskyy visits Turkiye for talks with Erdogan ...,https://www.ctvnews.ca/world/russia-ukraine-war/article/russian-barrage-kills-19-in-ukraine-city-as-zelenskyy-heads-for-talks-with-turkish-leader/
2025/11/19,Top Ukrainian ministers submit resignations amid scandal,Zelenskyy seeks dismissal of justice and energy ministers ...,https://www.ctvnews.ca/world/article/zelenskyy-seeks-dismissal-of-justice-and-energy-ministers-in-ukrainian-corruption-probe/
2025/11/13,Georgia__ jailed ex-leader Saakashvili asks Zelensky to exchange him in POW swap,"Georgia__ jailed ex-president Mikheil Saakashvili, who has Ukrainian citizenship, has on Thursday appealed to Ukraine__ ...",https://www.ctvnews.ca/world/article/georgias-jailed-ex-leader-saakashvili-asks-zelensky-to-exchange-him-in-pow-swap/
2025/8/9,Zelensky discusses __iplomatic situation_ in Ukraine with Macron,Ukraine President Volodymyr Zelensky said he discussed the __iplomatic situation_ ...,https://www.ctvnews.ca/world/russia-ukraine-war/article/zelensky-discusses-diplomatic-situation-in-ukraine-with-macron/
2025/3/3,Vancouver Island support for Ukraine grows after Friday__ Oval Office berating of Zelensky,Local volunteer responds after Oval Office berating of Zelensky ...,https://www.ctvnews.ca/vancouver/article/vancouver-island-support-for-ukraine-grows-after-fridays-oval-office-berating-of-zelensky/
2025/2/28,A Russian state media reporter gained entry to the Oval Office for Trump-Zelensky sit-down,A member of Russia__ state-owned news agency gained access to the Oval Office ...,https://www.ctvnews.ca/politics/article/a-russian-state-media-reporter-gained-entry-to-the-oval-office-for-trump-zelensky-sit-down/
2025/2/22,CTV National News: Zelensky calls for more support from allies,Zelensky calls for increased support from allied nations ...,https://www.ctvnews.ca/video/2025/02/23/ctv-national-news-zelensky-calls-for-more-support-from-allies-as-war-nears-three-year-mark/
2022/3/28,Zelensky briefs Trudeau as ceasefire talks resume,Zelensky updated Trudeau on ceasefire developments ...,https://www.ctvnews.ca/politics/article/zelensky-briefs-trudeau-as-ceasefire-talks-with-russia-to-resume-in-turkey/
2022/3/24,Live updates: Zelensky reassures Ukraine in nightly address,Zelensky delivers nightly address to the nation ...,https://www.ctvnews.ca/world/article/live-updates-zelensky-reassures-ukraine-in-nightly-address/
2022/3/21,Live updates: Zelensky hails protesters confronting troops,President Zelensky said he was prepared to discuss neutrality ...,https://www.ctvnews.ca/world/article/live-updates-zelensky-hails-protesters-confronting-troops/
2022/3/20,Zelensky: 'I'm ready for negotiations' with Putin,Zelensky signals willingness to negotiate ...,https://www.ctvnews.ca/world/article/zelensky-im-ready-for-negotiations-with-putin-but-if-they-fail-it-could-mean-a-third-world-war/
2022/3/19,Live updates: Zelensky calls Mariupol terror a war crime,Zelensky condemns attack as war crime ...,https://www.ctvnews.ca/world/article/live-updates-zelensky-calls-mariupol-terror-a-war-crime/
2022/3/18,Facebook and YouTube say they removed Zelensky deepfake,Platforms remove deepfake of Zelensky ...,https://www.ctvnews.ca/sci-tech/article/facebook-and-youtube-say-they-removed-zelensky-deepfake/
2022/3/18,'Madison is wrong': GOP backlash over Cawthorn grows after Zelensky insult,GOP members push back after insults against Zelensky ...,https://www.ctvnews.ca/world/article/madison-is-wrong-gop-backlash-over-cawthorn-grows-after-zelensky-insult/
2022/3/17,Live updates: Zelensky mum on specifics of new U.S. aid,Ukrainian President Volodymyr Zelensky ...,https://www.ctvnews.ca/world/article/live-updates-zelensky-mum-on-specifics-of-new-us-aid/
2022/3/16,Zelensky invokes Sept. 11 in appeal to U.S. Congress,Zelensky references U.S. tragedies to appeal for aid ...,https://www.ctvnews.ca/world/article/zelensky-invokes-sept-11-terror-attacks-in-appeal-to-u-s-congress/
2022/3/15,Ukrainians in Ottawa react to Zelensky address with mixture of pride and heartbreak,Thousands watched as President Volodymyr Zelensky made his speech ...,https://www.ctvnews.ca/ottawa/article/ukrainians-in-ottawa-react-to-zelensky-address-with-mixture-of-pride-and-heartbreak/
2022/3/15,"As Zelensky set to speak to Parliament, here's a look at other leaders who have spoken",Ukraine__ President Zelensky scheduled to address Canada__ Parliament ...,https://www.ctvnews.ca/politics/article/as-zelensky-set-to-speak-to-parliament-heres-a-look-at-other-leaders-who-have-spoken/
2022/3/14,"'Please, close the sky': Zelensky addresses Canada__ Parliament",Zelensky made direct pleas for greater support ...,https://www.ctvnews.ca/politics/article/please-close-the-sky-says-ukraine-president-zelensky-in-address-to-canadas-parliament/
2022/3/14,Zelensky latest in long list of world leaders to address Parliament,When Ukrainian President Volodymyr Zelensky addresses Parliament ...,https://www.ctvnews.ca/politics/article/zelensky-latest-in-long-list-of-world-leaders-to-address-parliament-third-ukrainian-president/
2022/3/13,"Live updates: 'Black day' after Russian attack, Zelensky says",Zelensky comments on aftermath of Russian attack ...,https://www.ctvnews.ca/world/article/live-updates-black-day-after-russian-attack-zelensky-says/
2022/3/12,Live updates: Zelensky warns against 'pseudo-republics',Zelensky warns Russia aims to create pseudo-republics ...,https://www.ctvnews.ca/world/article/live-updates-zelensky-warns-against-pseudo-republics/
