date,title,short_opening,url
28-Feb,"Trump, Vance and Zelenskyy spar over Russian war in tense exchange: 'Very disrespectful'","President Donald Trump, Vice President JD Vance and Ukraine President Volodymyr Zelenskyy sparred during a meeting at the White House to end the Russia-Ukraine War.",https://www.foxnews.com/politics/trump-vance-zelenskyy-spar-over-russian-war-tense-exchange-very-disrespectful
2 days ago,Zelenskyy moves to 'clean up' Ukraine's energy sector as corruption scandal rocks leadership,Ukrainian President Volodymyr Zelenskyy announced major energy sector cleanup Sunday as corruption scandal rocks the nation's nuclear industry.,https://www.foxnews.com/politics/zelenskyy-moves-clean-up-ukraines-energy-sector-corruption-scandal-rocks-leadership
28-Feb,Tulsi Gabbard thanks Trump for 'unwavering leadership' in Oval Office clash with Zelenskyy,Tulsi Gabbard commended President Trump's 'unwavering leadership' after a controversial dustup with Ukrainian President Volodymyr Zelenskyy.,https://www.foxnews.com/politics/tulsi-gabbard-thanks-trump-unwavering-leadership-oval-office-clash-zelenskyy
17-Feb,"Zelenskyy not yet signing US economic agreement 'short-sighted,' White House official says",A White House national security official said Ukrainian President Volodymyr Zelenskyy 'is being short-sighted' in not signing a rare earth minerals deal.,https://www.foxnews.com/world/zelenskyy-not-yet-signing-us-economic-agreement-short-sighted-white-house-official-says
17-Aug,"European leaders will join Trump-Zelenskyy meeting, signaling solidarity with Ukraine",European leaders including France's Macron and UK's Starmer join Zelenskyy for crucial Washington meeting with Trump.,https://www.foxnews.com/politics/european-leaders-join-trump-zelensky-meeting-signaling-solidarity-ukraine
17-Aug,"European leaders will join Trump-Zelenskyy meeting, signaling solidarity with Ukraine",European leaders including France's Macron and UK's Starmer join Zelenskyy for crucial Washington meeting with Trump.,https://www.foxnews.com/politics/european-leaders-join-trump-zelensky-meeting-signaling-solidarity-ukraine
18-Feb,"Zelenskyy faces perilous re-election odds as US, Russia push Ukraine to go to the polls",U.S. and Russia push Ukraine to hold elections as Zelenskyy's term is past expiration.,https://www.foxnews.com/politics/zelenskyy-faces-perilous-reelection-odds-us-russia-push-ukraine-go-polls-part-peace-deal
5 days ago,Top Ukrainian officials in Zelenskyy government submit resignations amid $100 million corruption scandal,Anti-corruption agencies expose alleged kickback scheme in Energoatom.,https://www.foxnews.com/world/top-ukrainian-officials-zelenskyy-government-submit-resignations-amid-100-million-corruption-scandal
3-Feb,Zelenskyy warns peace talks without Ukraine 'dangerous' after Trump claims meetings with Russia 'going well',Zelenskyy warns Trump-led talks with Russia without Ukraine would be 'dangerous.',https://www.foxnews.com/world/zelenskyy-warns-peace-talks-without-ukraine-dangerous-after-trump-claims-meetings-russia-going-well
6-Jul,Zelenskyy touts 'fruitful' Trump call after US president disappointed by Putin talk,Zelenskyy and Trump held a strategic call about air defense and Patriot missiles.,https://www.foxnews.com/world/zelenskyy-touts-fruitful-trump-call-after-us-president-disappointed-putin-talk
17-Aug,Ukrainian designer predicts Zelenskyy will wear military suit for high-stakes Trump meeting,Designer says Zelenskyy will likely choose military-style clothing for DC meeting.,https://www.foxnews.com/world/ukrainian-designer-predicts-zelenskyy-wear-military-suit-high-stakes-trump-meeting
18-Aug,Trump moves to broker Putin-Zelenskyy meeting following DC peace talks,Trump announces plans for trilateral meeting.,https://www.foxnews.com/politics/trump-arranges-putin-zelenskyy-meeting-after-calling-russian-president-amid-ukraine-talks-from-white-house
23-Sep-24,Zelenskyy warns Vance__ plan to give Russia seized land will lead to __lobal showdown_,Zelenskyy says Vance's proposal would trigger global war.,https://www.foxnews.com/world/zelenskyy-warns-vances-plan-ukrainian-lands-seized-russia-result-global-showdown
1-Mar,Zelenskyy meets with British Prime Minister Keir Starmer in London following Trump Oval Office clash,Zelenskyy welcomed by UK's PM after White House clash.,https://www.foxnews.com/world/zelenskyy-meets-british-prime-minister-keir-starmer-london-following-trump-oval-office-clash
4-Mar,"Zelenskyy says Ukraine 'ready' for peace negotiations, calls Trump meeting 'regrettable'",Zelenskyy calls recent Trump meeting 'regrettable.',https://www.foxnews.com/politics/zelenskyy-says-ukraine-ready-peace-negotiations-calls-trump-meeting-regrettable
16-Sep,Trump and Zelenskyy to meet as Poland pressures NATO on no fly zone over Ukraine,Possible Zelenskyy__rump meeting during UN summit.,https://www.foxnews.com/world/trump-zelenskyy-meet-poland-pressures-nato-no-fly-zone-over-ukraine
19-Aug,"Trump reflects on Ukraine peace talks, working toward Putin-Zelenskyy meeting",Trump discusses efforts to arrange peace meeting.,https://www.foxnews.com/video/6377075188112
25-Feb,Trump says minerals deal has been 'pretty much' negotiated with Zelenskyy,Zelenskyy agrees to terms of minerals deal allowing US access.,https://www.foxnews.com/world/trump-says-minerals-deal-has-been-pretty-much-negotiated-zelenskyy-meeting-slated-friday
1-Mar,Zelenskyy meets with British Prime Minister Keir Starmer in London following Trump Oval Office clash,Zelenskyy meets with UK PM after tense US meeting.,https://www.foxnews.com/world/zelenskyy-meets-british-prime-minister-keir-starmer-london-following-trump-oval-office-clash
28-Feb,"Where Zelenskyy is headed following tense White House exchange with Trump, Vance",Zelenskyy left White House after tense exchange.,https://www.foxnews.com/politics/where-zelenskyy-headed-following-tense-white-house-exchange-trump-vance
25-Sep,"Zelenskyy 'ready' to exit office if war ends, open to elections in ceasefire",Zelenskyy says peace is priority over second term.,https://www.foxnews.com/world/zelensky-ready-leave-office-when-ukraine-war-ends
23-Sep,Trump and Zelenskyy signal stronger ties after UN meeting,Zelenskyy: relationship with Trump is 'better than before.',https://www.foxnews.com/politics/trump-zelenskyy-signal-stronger-ties-after-un-meeting-better-relations-than-before
17-Jul,Ukraine's Zelenskyy names new prime minister,Zelenskyy appoints new PM amid ongoing war.,https://www.foxnews.com/world/ukraines-zelenskyy-names-new-prime-minister-first-time-since-russias-war-began
27-Mar,Zelenskyy sensationally predicts Putin 'will die soon',Zelenskyy claims Putin__ health is collapsing.,https://www.foxnews.com/world/zelenskyy-sensationally-predicts-putin-will-die-soon
27-Feb,Why Zelenskyy keeps pushing for Ukraine NATO membership,Zelenskyy insists NATO path still crucial.,https://www.foxnews.com/politics/why-zelenskyy-keeps-pushing-ukraine-nato-membership-even-though-trump-says-its-not-happening
19-Aug,Russia launches largest attack on Ukraine this month following Trump's meetings with Zelenskyy,Russia strikes Ukraine during Zelenskyy__rump meetings.,https://www.foxnews.com/world/russia-launches-largest-attack-ukraine-month-following-trumps-meetings-putin-zelenskyy
28-Feb,Here's the real reason Trump and Zelenskyy's deal blew up in the Oval Office,Trump__elenskyy meeting exploded over lack of security guarantees.,https://www.foxnews.com/world/heres-real-reason-trump-zelenskyys-deal-blew-up-oval-office
28-Feb,Zelenskyy breaks silence on social media after fiery Oval Office exchange,Zelenskyy thanks America after tense White House clash.,https://www.foxnews.com/politics/zelenskyy-breaks-silence-social-media-after-fiery-oval-office-exchange-trump-thank-you-america
19-Feb,Trump calls Ukraine's Zelenskyy a 'dictator without elections',Trump slams Zelenskyy after Saudi peace talks.,https://www.foxnews.com/politics/trump-calls-ukraines-zelenskyy-dictator-without-elections-rift-widens
17-Aug,'Our position is clear:' Zelenskyy and EU dismiss ceding Ukrainian land to Russia,Zelenskyy says Ukraine's constitution forbids territorial surrender.,https://www.foxnews.com/politics/our-position-clear-zelenskyy-eu-dismiss-ceding-ukrainian-land-russia
18-Aug,Russian drone strikes kill 7 in Kharkiv during Zelenskyy's White House meeting with Trump,Deadly drone attacks strike Kharkiv during Zelenskyy's DC visit.,https://www.foxnews.com/politics/russian-drone-strikes-kharkiv-during-zelenskyys-white-house-meeting-trump
6-May-22,Ukrainian President Zelenskyy to join virtual G7 summit,Zelenskyy set to join Biden and G7 leaders for virtual summit.,https://www.foxnews.com/politics/zelenskyy-join-virtual-g7-summit
4 days ago,Trump administration stays silent as massive Ukraine corruption scandal rocks Zelenskyy's inner circle,$100 million corruption scandal hits Zelenskyy administration.,https://www.foxnews.com/politics/trump-administration-stays-silent-massive-ukraine-corruption-scandal-rocks-zelenskys-inner-circle
