date,title,short_opening,url
2025-02-19,Ukraine says it will defend existence as Trump calls Zelenskyy a ‘dictator’,"Ukrainian President Volodymyr Zelenskyy said he “would like Trump’s team to be more truthful"" after Trump suggested Ukraine “should have never started” the war.",https://globalnews.ca/news/11024883/donald-trump-disinformation-space-zelenskyy/
2024-11-24,"Ukraine needs better air defences, Zelenskyy says after Russian drone attack","Ukraine also battled a fierce counterattack by Moscow in the Russian territory of Kursk, and showed journalists the remains of a new ballistic missile fired by Russia last week.",https://globalnews.ca/news/10885946/ukraine-zelenskyy-air-defence-kursk-missiles-russia/
2024-11-16,"Ukraine war likely to end more quickly under Trump, Zelenskyy says","'From our side, we must do everything so that this war ends next year, ends through diplomatic means,' Zelenskyy said in a Ukrainian radio interview aired on Saturday.",https://globalnews.ca/news/10873215/volodymyr-zelenskyy-ukraine-war-1000-days/
2024-10-16,Zelenskyy says Ukraine ‘victory plan’ will force Russia toward peace,"Zelenskyy told parliament his plan contained five main points that were in the hands of his allies, including an unconditional invite to join NATO now and weapons support.",https://globalnews.ca/news/10814425/zelenskyy-ukraine-victory-plan-russia/
2024-09-27,"Trump, meeting with Zelenskyy, says he has ‘good relationship’ with Putin","As he was preparing to sit down for the Friday meeting, Trump was asked by a reporter if Ukraine could win the war and he replied, “Sure. They could.”",https://globalnews.ca/news/10778799/trump-ukraine-war-meeting-zelenskyy-putin/
2024-09-26,"Harris, Biden pledge continued Ukraine support as Zelenskyy visits Washington","The bulk of the new aid, US$5.5 billion, is to be allocated before Monday's end of the U.S. fiscal year, when the funding authority is set to expire.",https://globalnews.ca/news/10777015/biden-8-billion-ukraine-military-aid-zelenskyy-washington-visit/
2024-08-24,"Moscow, Kyiv swap prisoners as Ukraine marks independence day","According to the UN, most Ukrainian POWs who were returned in a prisoner exchange with Russia Saturday were suffering medical neglect, systematic mistreatment and even torture.",https://globalnews.ca/news/10714000/moscow-kyiv-swap-prisoners-as-ukraine-marks-independence-day/
2024-08-23,"Biden speaks to Zelenskyy, pledges U.S. military aid for Ukraine Independence Day","The U.S. also imposed sanctions on more than 400 entities and individuals for supporting Russia's war effort in Ukraine, including Chinese companies.",https://globalnews.ca/news/10713423/ukraine-zelenskyy-biden-aid-independence-day/
2024-07-12,"Biden’s verbal slips at NATO summit caught world attention, Moscow says","U.S President Joe Biden on Thursday misspoke and introduced Ukrainian President Volodymyr Zelenskyy as 'President Putin,' before quickly correcting himself.",https://globalnews.ca/news/10619224/biden-putin-zelenskyy-gaffe-nato-summit/
2024-07-08,Ukraine children’s hospital damaged as Russian missiles kill at least 41,A Russian airstrike against Ukraine on Monday morning killed dozens of people and left Kyiv's main children's hospital badly damaged.,https://globalnews.ca/news/10610182/ukraine-children-hospital-russian-missile-strike/
2024-05-09,Ukraine’s Zelenskyy fires state guard head after 2 accused in assassination plot,The move came as Zelenskyy said his country's army is facing “a really difficult situation” in eastern regions where troops are battling to hold back Russia.,https://globalnews.ca/news/10486088/ukraine-zelenskyy-assassination-state-guard/
2024-05-07,Ukraine says it foiled a Russian spy plot to assassinate Zelenskyy,"Two colonels in the State Guard of Ukraine were detained on suspicion of enacting the plan drawn up by Russia’s Federal Security Service, a statement said.",https://globalnews.ca/news/10479566/ukraine-zelenskyy-assassination-plot-russia-fsb/
2024-03-30,Zelenskyy fires more aides in reshuffle as Russia launches attacks across Ukraine,No explanation was given immediately for the latest changes in the Ukraine president's wide-reaching personnel shakeup over recent months.,https://globalnews.ca/news/10392929/zelenskyy-fires-aides-russia-attacks/
2024-02-24,"Trudeau, Western leaders in Kyiv as Ukraine marks 2 years since Russia invasion",President Volodymyr Zelenskyy welcomed Western leaders to Kyiv Saturday.,https://globalnews.ca/news/10315206/trudeau-ukraine-russia-anniversary/
2024-02-09,"Ukraine’s new army chief lays out goals, including use of high tech weapons",Col. Gen. Oleksandr Syrskyi's remarks appeared to align with President Volodymyr Zelenskyy’s stated aim of bringing “renewal” to the armed forces with Thursday’s shake-up.,https://globalnews.ca/news/10284487/ukraine-new-army-chief-goals-high-tech-weapons/
2024-02-08,Ukraine’s Zelenskyy removes top general in major military shakeup,Zelenskyy said he thanked Gen. Valerii Zaluzhnyi for his two years of service as commander-in-chief and discussed possible replacements for the top military job.,https://globalnews.ca/news/10281741/ukraine-top-military-general-replaced-zelenskyy/
2024-02-05,Zelenskyy says he’s thinking about replacing Ukraine’s military chief,"Ukraine's President Volodymyr Zelenskyy said he was weighing a possible dismissal of the country's top military officer, a prospect that has shocked the nation.",https://globalnews.ca/news/10272585/ukraine-military-chief-zelenskyy/
2024-01-15,"Switzerland hosts Ukraine’s Zelenskyy, offers to hold peace summit with Russia",The two presidents said the Ukrainian and Swiss teams will begin preparations for the Global Peace Summit in Switzerland as early as Tuesday.,https://globalnews.ca/news/10227931/switzerland-zelenskyy-visit-ukraine-russia-peace-summit/
2024-01-02,"‘As much as it takes, for as long as it takes’: Trudeau on Ukraine support","Canada pledged to support Ukraine with 'as much as it takes, for as long as it takes' as Russia ramps up its bombardment and the war nears its two-year mark.",https://globalnews.ca/news/10199235/trudeau-pledges-support-for-ukraine/
2023-12-23,Ukraine downs three Russian fighter,Analysts have suggested U.S.-supplied Patriot missiles had probably been used.,https://globalnews.ca/news/10188779/ukraine-downs-three-russian-fighter-bomber-jets-zelenskyy/
2023-12-19,Ukraine weighing military’s request to mobilize another 500K for war: Zelenskyy,"Volodymyr Zelenskyy said it was a ""highly sensitive"" issue that the military and government would discuss before deciding whether to send the proposal to parliament.",https://globalnews.ca/news/10180949/ukraine-army-mobilization-request-zelenskyy/
2023-12-12,Zelenskyy’s push for more Ukraine aid appears to fall flat among Republicans,"Zelenskyy's visit to Washington comes as Republicans are insisting on linking further aid to strict U.S.-Mexico border security changes, putting the funding at risk of collapse.",https://globalnews.ca/news/10165011/ukraine-zelenskyy-us-congress-border/
2023-12-08,"Elijah Wood, other celebs unwittingly used in Russia propaganda campaign","Mike Tyson, 'The Office' actor Kate Flannery and 'Breaking Bad' actor Dean Norris were all caught up in the campaign, according to the Microsoft Threat Analysis Center.",https://globalnews.ca/news/10157282/elijah-wood-cameo-video-russia-propaganda-zelenskyy/
2023-10-31,Zelenskyy urges Ukrainian troops to ignore outside pessimism as war drags on,"Despite a months-long offensive, the vast frontline in Ukraine's east and south has moved little in the past year, spurring criticism and impatience among some Western allies.",https://globalnews.ca/news/10062567/ukraine-russia-zelenskyy-troops-success/
2023-10-02,EU foreign ministers meeting in Kyiv to discuss Ukraine support,European Union foreign ministers converged on the Ukrainian capital for an unannounced informal meeting that officials said would review the bloc's support for Ukraine.,https://globalnews.ca/news/9999009/ukraine-eu-foreign-ministers-meeting/
2023-09-27,Renewed calls to take down Nazi,The fallout continued over Parliament's recognition of a man who fought for the Nazis and there are now renewed calls to remove two monuments in Edmonton with ties to the regime.,https://globalnews.ca/news/9990704/edmonton-ukraine-monument-nazi-history/
2023-09-22,"‘Never submit to evil,’ Zelenskyy urges in speech as Trudeau vows $650M more","The last time Ukrainian President Volodymyr Zelenskyy was in Canada, he was a relatively unknown leader fresh off an election win in 2019.",https://globalnews.ca/news/9978576/ukraine-zelenskyy-canada-visit/
2023-09-21,Ukraine operations won’t be hit by likely U.S. government shutdown: Pentagon,Existing U.S. military operations supporting Ukraine's fight against Russia wil continue if the U.S. government shuts down over a spending battle that threatens new military aid.,https://globalnews.ca/news/9978239/ukraine-pentagon-military-support-shutdown/
2023-09-21,Zelenskyy makes case for more aid to U.S. Congress as support under strain,"Ukrainian President Volodymyr Zelenskyy returned to Washington for a whirlwind one-day visit, this time facing pressure from Republicans questioning U.S. aid to Ukraine.",https://globalnews.ca/news/9976184/volodymyr-zelenskyy-ukraine-us-congress/
2023-09-20,Zelenskyy calls Russia ‘terrorist state’ at tense UN Security Council meeting,"Before the meeting started, there was intense speculation about whether Zelenskyy and Russia's top diplomat, Sergey Lavrov, would clash, speak or totally avoid each other.",https://globalnews.ca/news/9974240/ukraine-zelenskyy-un-security-council/
2023-09-19,Ukraine’s Zelenskyy will visit Canada for 1st time since Russian invasion: sources,"Canada has been a fervent supporter of Ukraine during the war, with Prime Minister Justin Trudeau and Ukrainian President Volodymyr Zelenskyy speaking often.",https://globalnews.ca/news/9971136/zelenskyy-canada-visit/
2023-09-14,Zelenskyy set to visit Washington as U.S. debates continuing Ukraine aid,Zelenskyy's trip comes as Congress is debating Joe Biden's request to provide at least US$21 billion in military and humanitarian aid for Ukraine as it fights the Russian invasion.,https://globalnews.ca/news/9962555/ukraine-zelenskyy-us-congress-visit-2023/
2023-09-04,Ukraine’s defense minister resigns after Zelenskyy names replacement,Ukrainian Defense Minister Oleksii Reznikov submitted a letter of resignation on Monday after President Volodymyr Zelenskyy said he would be replaced and named his successor.,https://globalnews.ca/news/9937705/ukraines-defense-minister-resigns-after-zelenskyy-names-replacement/
2023-08-01,Russia blames Ukraine as drone attack damages Moscow building,Russian officials have claimed that the intensified attacks on the capital region reflect failures in Ukraine's counteroffensive.,https://globalnews.ca/news/9869296/russia-ukraine-drone-attacks-moscow/
2023-07-20,Why Zelenskyy’s call to tighten spending led a Ukrainian minister to resign,"Zelenskyy said he had appealed to local councils and his cabinet to show restraint so that ""people feel that budget resources are used fairly and correctly.""",https://globalnews.ca/news/9847090/ukraine-zelenskyy-spending-minister-resigns/
2023-07-08,Zelenskyy hails soldiers from Snake Island to mark country’s 500th day of war,"Speaking from Snake Island in a video, Zelenskyy honored the Ukrainian soldiers who fought for the island and all other defenders of the country.",https://globalnews.ca/news/9819444/zelenskeyy-500-days-of-war/
2023-07-02,Biden to visit Europe in effort to boost NATO against Russia,The trip is intended to bolster the international coalition against Russian aggression as the war in Ukraine extends well into its second year.,https://globalnews.ca/news/9807656/biden-europe-nato-russia-ukraine/
2023-06-24,Russia’s Putin calls Wagner rebellion ‘a stab in the back’,President Vladimir Putin vowed Saturday to punish the organizers of an armed rebellion in Russia involving mercenary chief Yevgeny Prigozhin.,https://globalnews.ca/news/9791119/putin-wagner-group-rebellion/
2023-06-23,Zelenskyy warns countries to act amid possible threat to Zaporizhzhia nuclear plant,Members of his government briefed international representatives on Thursday on the possible threat to the Zaporizhzhia Nuclear Power Plant.,https://globalnews.ca/news/9788742/zelenskyy-zaporizhzhia-plant-russia-ukraine/
2023-06-13,Putin threatens new offensive in Ukraine while teasing peace talks,Putin made some of the most extensive comments about the conflict and his goals since sending the troops into Ukraine more than 15 months ago.,https://globalnews.ca/news/9766561/putin-ukraine-russian-offensive-peace-deal/
2023-06-13,Russian missiles kill at least 10 people in Zelenskyy’s hometown,The devastation comes as Ukrainian forces are mounting counteroffensive operations using Western-supplied firepower to try to drive out the Russians.,https://globalnews.ca/news/9764602/russian-missile-attack-zelenskyy-hometown/
2023-06-10,"Canada to help Ukraine with another $500M and weapons, Trudeau says",This is the second time Trudeau has made an unannounced visit to the embattled country since Russia began its large-scale invasion of Ukraine in February 2022.,https://globalnews.ca/news/9760011/justin-trudeau-ukraine-surprise-visit-2023/
2023-06-05,"Biden kicks off talks with Denmark, U.K. focusing on Ukraine war",The Oval Office visit kicked off the first of a pair of critical meetings Biden is holding with European allies this week that will focus heavily on what lies ahead for Ukraine.,https://globalnews.ca/news/9747264/biden-denmark-uk-ukraine-war/
2023-05-21,Zelenskyy denies Russia’s claim it has captured Bakhmut,"Ukrainian President Volodymyr Zelenskyy said Sunday that Russian forces weren't occupying Bakhmut, casting doubt on Moscow's insistence that the eastern Ukrainian city had fallen.",https://globalnews.ca/news/9714228/volodymyr-zelenskyy-bakhmut-russia/
2023-05-21,Zelenskyy hints new Canadian aid package for Ukraine is coming soon,Prime Minister Justin Trudeau and Volodymyr Zelenskyy had met earlier in the day and Canada did not announce any new weapons or aid for Ukraine after they spoke.,https://globalnews.ca/news/9714201/volodymyr-zelenskyy-canada-ukraine-aid/
2023-05-21,Zelenskyy makes appearance at G7 as Trudeau reaffirms support to Ukraine,"Prime Minister Justin Trudeau sent a forceful rebuke of Russia at the conclusion of the G7 Leaders' Summit, which included the arrival of Ukrainian President Volodymyr Zelenskyy.",https://globalnews.ca/news/9714169/justin-trudeau-g7-zelenskyy/
2023-05-13,Ukraine’s Zelenskyy meets Pope Francis at the Vatican,"Ukrainian President Volodymyr Zelenskyy held talks with Pope Francis at the Vatican on Saturday, saying it was a great honor to meet with the pontiff.",https://globalnews.ca/news/9696378/pope-francis-volodymyr-zelenskyy-vatican/
2023-05-12,"Ukraine retakes territory near Bakhmut, forcing Russia to retreat",Ukrainian military commanders said Friday that their troops had recaptured more territory from Russian forces at the eastern city of Bakhmut.,https://globalnews.ca/news/9695088/ukraine-bakhmut-territory-russia/
