date,title,short_opening,url
17-Nov-25,Ukraine's $100 million energy scandal triggers resignations and testsZelenskyy,By Joanna Kakissis,https://www.npr.org/2025/11/17/nx-s1-5608255/ukraines-100-million-energy-scandal-triggers-resignations-and-tests-zelenskyy
23-Oct-25,EU leaders announce new sanctions against Russia as they welcome Ukraine'sZelenskyy,Eleanor Beardsley Ukrainian President Volodymyr Zelenskyy meets with European Union leaders as they prepare massive new financing for Kyiv's war effort.,https://www.npr.org/2025/10/23/nx-s1-5582384/eu-leaders-announce-new-sanctions-against-russia-as-they-welcome-ukraines-zelenskyy
19-Oct-25,"Politics chat: No Kings protests across the U.S., Trump talks with Putin andZelenskyy",By Don Gonyea,https://www.npr.org/2025/10/19/nx-s1-5577935/politics-chat-no-kings-protests-across-the-u-s-trump-talks-with-putin-and-zelenskyy
18-Oct-25,"AfterZelenskyymeeting, Trump calls on Ukraine and Russia to 'stop where they are' and end the war",By The Associated Press,https://www.npr.org/2025/10/18/nx-s1-5578871/zelenskyy-meeting-trump-ukraine-russia-war
17-Oct-25,Trump hostsZelenskyyas plans for a Putin meeting are underway,Deepa Shivaram President Trump met with Ukrainian President Volodymyr Zelenskyy after announcing he is scheduling another face-to-face with Russian President Vladimir Putin.,https://www.npr.org/2025/10/17/nx-s1-5577846/trump-hosts-zelenskyy-as-plans-for-a-putin-meeting-are-underway
17-Oct-25,"Roundup: Bolton in court,Zelenskyyin Washington, military in the Caribbean",By Miles Parks,https://www.npr.org/2025/10/17/nx-s1-5577709/roundup-bolton-in-court-zelenskyy-in-washington-military-in-the-caribbean
17-Oct-25,"Bolton Indicted, Trump and Zelenskyy Meeting, Rebuilding Gaza","John Bolton is indicted on 18 counts for allegedly mishandling classified information dating back to his time as national security advisor during President Trump__ first term. President_Volodymyr Zelenskyy meets with President Trump at the White House to discuss Ukraine's request for long-range missiles, Trump says he will meet with Russia's president in Hungary next. And the scale of Gaza__ reconstruction is staggering, with unexploded bombs buried in the rubble, nearly all buildings damaged or destroyed and major questions about who will lead the reconstruction.Want more comprehensive analysis of the most important news of the day, plus a little fun?Subscribeto the Up First newsletter. It was produced by Ziad Buchh, Nia Dumas and Milton Guevara.",https://www.npr.org/2025/10/17/nx-s1-5577632/bolton-indicted-trump-and-zelenskyy-meeting-rebuilding-gaza
17-Oct-25,"Trump and Zelenskyy to meet. And, John Bolton indicted for mishandling classified info",By Brittney Melton,https://www.npr.org/2025/10/17/g-s1-93955/up-first-newsletter-john-bolton-volodymyr-zelenskyy-gaza
17-Oct-25,Zelenskyy is set to meet Trump at the White House. Here's what to expect,Michele Kelemen President Trump meets with Ukrainian President Volodymyr Zelenskyy at the White House on Aug. 18 for a bilateral meeting and later an expanded meeting with European leaders to discuss a peace deal between Russia and Ukraine.Anna Moneymaker/Getty Imageshide caption,https://www.npr.org/2025/10/17/g-s1-93697/zelenskyy-trump-white-house-meeting
16-Oct-25,Trump talks with Putin ahead of hosting Zelenskyy at the White House,Michele Kelemen President Trump's views on Russia and Ukraine seem to be shifting ahead of Volodymyr Zelenskyy's visit to the White House.,https://www.npr.org/2025/10/16/nx-s1-5574073/trump-talks-with-putin-ahead-of-hosting-zelenskyy-at-the-white-house
1-Oct-25,"Greetings from Kyiv, where you might stumble across Zelenskyy taking a stroll","Nick Spicer The Maidan, Kyiv's Independence Square, has been the heart of political change in Ukraine for more than two decades. While visiting NPR's team covering Ukraine _ correspondent Joanna Kakissis and producers Hanna Palamarenko and Polina Lytvynova _ I went back to the square, where history-making news events have drawn me for over two decades.",https://www.npr.org/2025/10/01/nx-s1-5554518/video-ukraine-zelenskyy-maidan-postcard
28-Sep-25,Russian strikes kill 4 in Ukraine as Zelenskyy urges world not to 'turn a blind eye',By Rebecca Rosman,https://www.npr.org/2025/09/28/nx-s1-5555885/russian-drone-attack-kyiv-kills-4
24-Sep-25,Ukraine's Zelenskyy issues a stark warning about a global arms race and AI war,Alex Leff Ukrainian President Volodymyr Zelenskyy addresses the 80th session of the U.N. General Assembly in New York on Wednesday.Richard Drew/APhide caption,https://www.npr.org/2025/09/24/nx-s1-5552206/ukraine-zelenskyy-un-general-assembly-trump
24-Sep-25,Zelenskyy touted Ukraine's ingenuity against Russia in UN address,"Michele Kelemen Ukrainian President Volodymyr Zelenskyy addresses the U.N. General Assembly, as diplomats struggle to stop Russia's aggression.",https://www.npr.org/2025/09/24/nx-s1-5546755/zelenskyy-touted-ukraines-ingenuity-against-russia-in-un-address
19-Aug-25,"How Moscow views the talks between Trump, Zelenskyy and European leaders",By Leila Fadel,https://www.npr.org/2025/08/19/nx-s1-5506214/how-moscow-views-the-talks-between-trump-zelenskyy-and-european-leaders
19-Aug-25,How Ukrainians view the meeting between Trump and Zelenskyy,"A Martínez A MART_NEZ, HOST:",https://www.npr.org/2025/08/19/nx-s1-5506051/how-ukrainians-view-the-meeting-between-trump-and-zelenskyy
19-Aug-25,"Putin and Zelenskyy could meet. And, Trump wants to stop voting by mail",By Brittney Melton,https://www.npr.org/2025/08/19/g-s1-83374/up-first-briefing-putin-zelenskyy-may-meet-mail-in-votings-future
